catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size
105,JT INTERNATIONAL - SA,WINSTON PURPLE MINT,WINSTON PURPLE MINT-WINSTON-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,PT PHILIP MORRIS-INDONESIA,MARLBORO GOLD,MARLBORO GOLD-MARLBORO-LIGHT-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,CHAUDHARY GROUP - NEPAL,SAHASI PREMIUM FILTER KINGS,SAHASI PREMIUM FILTER KINGS-SAHASHI-FULL FLAVOUR-HL 20'S-NON-FILTER-VALUE,HL,20.0,NO,20
105,CHAUDHARY GROUP - NEPAL,GAURAV,GAURAV-GAURAV-FULL FLAVOUR-SC 20'S-KS REGULAR-VALUE,SC,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,BROWN CLOVE,BROWN CLOVE-BROWN-KRETEK-HL 20'S-LONG REGULAR-MID-PRICE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,CAPTAIN FILTER KINGS,CAPTAIN FILTER KINGS-CAPTAIN-FULL FLAVOUR-HL 20'S-LONG REGULAR-MID-PRICE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,NEPAL GOLD FLAKE,NEPAL GOLD FLAKE-NEPAL GOLD FLAKE-FULL FLAVOUR-SC 20'S-LONG SS-VALUE,SC,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,MAYALU,MAYALU-MAYALU-FULL FLAVOUR-HL 20'S-LONG SS-VALUE,HL,20.0,NO,20
105,GORKHA LAHARI PVT.LTD.- NEPAL,LAILA,LAILA-LAILA-FULL FLAVOUR-HL 20'S-LONG SS-VALUE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SHIKHAR SELECT,SHIKHAR SELECT-SHIKHAR-FULL FLAVOUR-HL 20'S-KS SLIM-VALUE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SHIKHAR ICE RUSH,SHIKHAR ICE RUSH-SHIKHAR-FRESH-HL 20'S-KS REGULAR-MID-PRICE,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA LEGEND,SURYA LEGEND-SURYA-FULL FLAVOUR-SB 20'S-KS REGULAR-PREMIUM,SB,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT,SURYA 24 CARAT-SURYA-FULL FLAVOUR-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT BLUE,SURYA 24 CARAT BLUE-SURYA-LIGHT-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,SURYA 24 CARAT ARCTIC BURST,SURYA 24 CARAT ARCTIC BURST-SURYA-FRESH-HL 20'S-KS REGULAR-PREMIUM,HL,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,CHAUTARI,CHAUTARI-CHAUTARI-FULL FLAVOUR-SC 20'S-NON-FILTER-VALUE,SC,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,CHAUTARI FILTER,CHAUTARI FILTER-CHAUTARI-FULL FLAVOUR-SC 20'S-NON-FILTER-VALUE,SC,20.0,NO,20
105,SURYA NEPAL PVT LTD - NEPAL,BIJULI FILTER,BIJULI FILTER-BIJULI-FULL FLAVOUR-HL 20'S-NON-FILTER-VALUE,HL,20.0,NO,20
