CATEGORY,MANUFACTURE,BRAND,ITEMDESC,PACKTYPE,qty,uomdesc,PACKSIZE,MATCHED,catcode,company,brand,itemdesc,packaging,qty,uomdesc,pack_size,ERROR,ProductName
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML,180ML,2,,,,,,,,,ITEMDESC,Farm Fresh Coco Coconut Flavor
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML,180ML,2,,,,,,,,,ITEMDESC,Farm Fresh Coco Coconut Flavor
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE PBT 2.25 L 250ML MOUNTAIN DEW FREE,PBT,2250.0,ML,2.25L,1,,,,,,,,,PACKTYPE,
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA PET 1.5LTR,PET,1500.0,ML,1.5LTR,0,118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA-PET 1500 ML,PET,1500.0,ML,1500.000 ML,,Chauca Cola
118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA PET 1.5LTR,PET,1500.0,ML,1.5LTR,0,118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA-PET 1500 ML,PET,1500.0,ML,1500.000 ML,,Chauca Cola
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,PET,2250.0,ML,2.25LTR,0,118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 2250 ML+250 ML MOUNTAIN DEW FREE,PET,2250.0,ML,2250.000 ML,,"1. Mirinda Orange
   2. Mountain Dew"
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,PET,2250.0,ML,2.25LTR,0,118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE-ORANGE PET 2250 ML+250 ML MOUNTAIN DEW FREE,PET,2250.0,ML,2250.000 ML,,"1. Mirinda Orange
   2. Mountain Dew"
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,0,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125.000 ML,,GOODLIFE-LYCHEE-LITCHI
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125ML,0,134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML,125.000 ML,,GOODLIFE-LYCHEE-LITCHI
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MIXED FRUIT PBT 250ML,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MANGO PBT 250ML,PBT,250.0,ML,250ML,1,,,,,,,,,MANUFACTURE,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SINGAPORE BEVERAGE-NEPAL PV.LTD,PIMBU PAANI,LEMONZAAAAA,PET,600.0,,600,1,,,,,,,,,MANUFACTURE,
134,LIFE FOOD & BEVERAGE PVT.LTD,COCO,FARMFRESH,CAN,180.0,ML,180 ML,1,,,,,,,,,MANUFACTURE,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML,1000ML,1,,,,,,,,,MANUFACTURE,
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML,1000ML,1,,,,,,,,,BRAND,
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML,110ML,0,134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110 ML,PET,110.0,ML,110.000 ML,,Perna-Lychee-Litchi
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML,330ML,0,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU CLASSIC--CLASSIC CAN 330 ML,CAN,330.0,ML,330.000 ML,,KI BU CLASSIC
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML,330ML,0,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU CLASSIC--CLASSIC CAN 330 ML,CAN,330.0,ML,330.000 ML,,KI BU CLASSIC
134,P.K. GENETLRAL DRINK L.P THAILAND,BONKO COCONUT ,BONKO COCONUT \320ML\PBT\COCONUT FLAVOUR ,PBT,320.0,ML,320ML,1,,,,,,,,,MANUFACTURE,
134,P.K. GENETLRAL DRINK L.P THAILAND,BONKO MANGO ,BONKO MANGO \320ML\PBT\MANGO FLAVOUR ,PBT,320.0,ML,320ML,1,,,,,,,,,MANUFACTURE,
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML,180ML,2,,,,,,,,,ITEMDESC,Farm Fresh Coco Coconut Flavor
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML,180ML,2,,,,,,,,,ITEMDESC,Farm Fresh Coconut Flavor
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML,330ML,0,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU CLASSIC--CLASSIC CAN 330 ML,CAN,330.0,ML,330.000 ML,,KI BU CLASSIC
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML,330ML,2,,,,,,,,,ITEMDESC,KI BU
134,HIMALAYAN BOTTLERS PVT.LTD NEPAL,AMRAPALI KOOL,AMPRALI LITCHI\125ML\PBT\LICHI FLAVOUR ,PBT,125.0,ML,125ML,1,,,,,,,,,MANUFACTURE,
134,INTER DRINKS CO. LTD.-THAILAND,C LIGHT,C LIGHT\240ML\CAN\LYCHEE ,CAN,240.0,ML,240ML,2,,,,,,,,,ITEMDESC,C LIGHT
134,INTER DRINKS CO. LTD.-THAILAND,C LIGHT,C LIGHT\240ML\CAN\LYCHEE ,CAN,240.0,ML,240ML,2,,,,,,,,,ITEMDESC,C LIGHT
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML,180ML,1,,,,,,,,,BRAND,
118,LIFE FOOD & BEVERAGE-NEPAL,LIFE LITCHI ,LIFE LITCHI/150ML/PBT,PBT,150.0,ML,150ML,1,,,,,,,,,CATEGORY,
