CATEGORY,MANUFACTURE,BRAND,ITEMDESC,PACKTYPE,qty,uomdesc
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE PBT 2.25 L 250ML MOUNTAIN DEW FREE,PBT,2250.0,ML
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML
134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,PET,1000.0,ML
134,WATER CAMPER PVT.LTD,NATURAL WATER,NATURAL WATER\100MLL\PET\RS:25\WATER CAMPER PVT.LTD NEPAL,PET,1000.0,ML
118,M.D.BOTTLERS INDS-NP,CHAUCA COLA,CHAUCA COLA-COLA PET 1.5LTR,PET,1500.0,ML
118,VARUN BEVERAGE -NEPAL,MIRINDA ORANGE,MIRINDA ORANGE-ORANGE PET 2250ML FREE 250ML MOUNTAIN DEW WORTH RS 50/-,PET,2250.0,ML
134,GOODLIFE BEVERAGE-NEPAL,GOODLIFE,GOODLIFE-LYCHEE-LITCHI PET 125 ML,PET,125.0,ML
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MIXED FRUIT PBT 250ML,PBT,250.0,ML
134,JAGADAMBA FOODS PVT LTD-NEPAL ,CHABAA BOOST,CHABAA BOOST MANGO PBT 250ML,PBT,250.0,ML
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML
134,SINGAPORE BEVERAGE-NEPAL PV.LTD,PIMBU PAANI,LEMONZAAAAA,PET,600.0,
134,LIFE FOOD & BEVERAGE PVT.LTD,COCO,FARMFRESH,CAN,180.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,R.R PROCESSED DRINKING WATER ,R.R DRINKING WATER ,R.R ,PET,1000.0,ML
134,BAUDDHA GRAMEEN PROCESSED DRINKING WATER,PROCESSED DRINKING WATER ,BG AQUA FRESH ,PET,1000.0,ML
134,SPRING FOOD & BEVERAGE-NEPAL,PERNA,PERNA-LYCHEE-LITCHI PET 110ML,PET,110.0,ML
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML
134,P.K. GENETLRAL DRINK L.P THAILAND,BONKO COCONUT ,BONKO COCONUT \320ML\PBT\COCONUT FLAVOUR ,PBT,320.0,ML
134,P.K. GENETLRAL DRINK L.P THAILAND,BONKO MANGO ,BONKO MANGO \320ML\PBT\MANGO FLAVOUR ,PBT,320.0,ML
134,LIFE FOOD & BEVERAGE-NEPAL,FARM FRESH COCO,FARM FRESH COCO \180ML\CAN\COCONUT FLAVOUR ,CAN,180.0,ML
134,LIFE FOOD & BEVERAGE-NEPAL,KI BU CLASSIC,KI BU\330ML\CAN\CLASSIC ,CAN,330.0,ML
134,HIMALAYAN BOTTLERS PVT.LTD NEPAL,AMRAPALI KOOL,AMPRALI LITCHI\125ML\PBT\LICHI FLAVOUR ,PBT,125.0,ML
134,INTER DRINKS CO. LTD.-THAILAND,C LIGHT,C LIGHT\240ML\CAN\LYCHEE ,CAN,240.0,ML
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML
118,LIFE FOOD & BEVERAGE-NEPAL,LIFE LITCHI ,LIFE LITCHI/150ML/PBT,PBT,150.0,ML
134,CG FOODS- NEPAL,RIO JUICE & GLUCOSE,RIO JUICE & GLUCOSE/MANGO/180ML/TPK,TPK,180.0,ML
