PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202501,2,130456210353,13045020020,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,,
202501,2,130456210243,13045020031,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,,1738041788347-p-s- beverage pvt-ltd- nepal-dalmia#3.png
202501,2,130456310211,13045020004,1738041788347,134,P.S. BEVERAGE PVT.LTD. NEPAL,DALMIA,DALMIA PROCESSED DRINKING WATER,20,1000 ML.,PBT,Any other reason,
202501,2,123145849,12303020019,1737358022952,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO BLACK CURRE,140,320ML,PBT,,1737358022952-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,123145849,12303020019,1737357252005,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO MANGO PBT 320ML,140,320ML,PBT,,1737357252005-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,123145849,12303020019,1737357801504,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,KOOL COCO,AMRAPALI KOOL COCO KIWI PBT 320ML,140,320ML,PBT,,1737357801504-himalayan bottlers pvt ltd-nepal-kool coco#3.png
202501,2,112134224,12101020005,1737515415751,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,AMRAPALI KOOL COCO,AMRAPALI KOOL COCO STRAWBERRY,140,320 ML.,PET,,
202501,2,130283152,21202020026,1737783834072,134,P.K. GENERAL DRINK LP.-THAILAND,"BONKO PINEAPPLE ","BONKO\320ML\PBT\PINEAPPLE FLAVOUR ",145,320ML,PBT,Sales Deviation is OK,1737783834072-p-k- general drink lp--thailand-bonko pineapple #3.png
202501,2,130456210299,13045020018,1737515415751,134,HIMALAYAN BOTTLERS PVT LTD-NEPAL,AMRAPALI KOOL COCO,AMRAPALI KOOL COCO STRAWBERRY,140,320 ML.,PET,,1737515415751-himalayan bottlers pvt ltd-nepal-amrapali kool coco#3.png
202501,2,122167896,31101020073,1737351474123,118,MANAKAMANA FRUIT & BEVERAGE-NP,MINT LAMONADE,MINT LEMONADE PBT 250ML,50,250ML,PBT,,1737351474123-manakamana fruit - beverage-np-mint lamonade#3.png
202501,2,125080524,21301020034,1736665621725,134,SANGRILLA SPRING DRINK&BEVRG-NP,HIMALAYAN SANGRILLA,HIMALAYAN SANGRILLA\1000\ML,20,1000 ML,PET,New SKU,1736665621725-sangrilla spring drink-bevrg-np-himalayan sangrilla#3.png
202412,2,116313561,11301020007,1734595091656,134,AGRO THAI FOODS PVT LTD-NEPAL,XTREME,XTREME-ENERGY DRINK CLASSIC CAN 500ML,200,500ML,CAN,,1734595091656-agro thai foods pvt ltd-nepal-xtreme#3.png
202412,2,116313561,11301020007,1734594899846,118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 2250ML FREE 250ML MOUNTAIN DEW RS50/-,270,2250ML,PET,,1734594899846-varun beverage -nepal-7 up#3.png
202412,2,130672610299,13067020011,1735611057892,134,"NICE JAL UDHYOG , NEPAL",RFS AQUA,"RFS AQUA PROCESSED DRINKING WATER ",20,1000 ML.,PBT,,1735611057892-nice jal udhyog - nepal-rfs aqua#3.png
202412,2,130672610277,13067020007,1735611057892,134,"NICE JAL UDHYOG , NEPAL",RFS AQUA,"RFS AQUA PROCESSED DRINKING WATER ",20,1000 ML.,PBT,,
202412,2,516753610299,51675020010,1735373521595,134,"API SPRING PVT.LTD NEPAL ",API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,"1000ML ",PBT,,
202412,2,516753710207,51675020002,1735373521595,134,"API SPRING PVT.LTD NEPAL ",API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,"1000ML ",PBT,,
202412,2,516753310229,51675020004,1735373521595,134,"API SPRING PVT.LTD NEPAL ",API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25,"1000ML ",PBT,,1735373521595-api spring pvt-ltd nepal -api spring#3.png
202412,2,128699486,12201020014,1733901349964,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-LYCHEE-LYCHEE DRINK PET 250ML,100,250ML,PET,,1733901349964-singapore beverage-nepal-fruit gems#3.png
202412,2,117186046,11302020003,1733808460064,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-GUAVA PET 250ML,50,250ML,PET,,1733808460064-raybot spring-s mineral water-nepal-raybot refresh#3.png
202412,2,128811177,52203020008,1734591105905,134,CG FOODS- NEPAL,"RIO ",RIO/GUAVA DELIGHT/180ML/TPK,25,"180ML ",TPK,,1734591105905-cg foods- nepal-rio #3.png
202412,2,130456210357,13045020016,1734579959351,134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-GUAVA PET 250 ML.,50,250 ML,PBT,,1734579959351-raybot spring-s mineral water-nepal-raybot refresh#3.png
202412,3,3110104604,31101030302,1734418567531,125,SHREE RAM TOBACCO UDHYOG,"BHOLA ",BHOLA EXTRA POWER\7GM\PPH\RS:20\SHREE RAM TOBACCO UDHYOG NEPAL,20,7GM,PPH,New SKU,1734418567531-shree ram tobacco udhyog-bhola #3.png
