PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202312,1,131555054,13771010005,1702451089223,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75G×5/GM/CDBOX/AYURVEDA SOAP BUY 4 GET 1 FREE SAVE RS.250/-,1000,75GM×5=375GM,"CDBOX ",,1702451089223-sanjeewaka ayurvedic products-chandanalepa#3.png
202312,1,131555054,13771010005,1702446156121,13,ICL MARKETING,REBECCA LEE BABY,REBECCA LEE/70×5/GM/CDBOX/CLASSIC BABY SOAP VITAMIN E & MILK PROTEIN SAVE RS.50/ FREE+ REBECCA LEE/70/GM/CDBOX/HERBAL BABY SOAP,675,70GM×5=350GM,"CDBOX ",,1702446156121-icl marketing-rebecca lee baby#3.png
202312,1,134752933,22302010004,1703840636214,17,"CHAMILA MILK PRODUCT ",CHAMILA,"CHAMILA/80/GM/PLCUP/YOGHURT ",70,80GM,PLCUP,,1703840636214-chamila milk product -chamila#3.png
202312,5,11415,51050003,1703747603799,38,UNIRO PAINTS (PVT) LTD,UNIRO,"UNIRO POLYURETHAN VARNISH 4LT  ",14040,4LT,TIN,,1703747603799-uniro paints -pvt- ltd-uniro#3.png
202312,5,11415,51050003,1703744651051,37,NATURELAC PAINTS (PVT)LTD,NATURELAC,"NATURELAC /4LT /EMULSION  INTERIOR / CLOUR ",5980,4LT,BASCUT,,1703744651051-naturelac paints -pvt-ltd-naturelac#3.png
202312,1,137325581,11105010037,1703740468787,6,MALIBAN BISCUIT MANUFACTORIES,MALIBAN SORTIES,MALIBAN SORTIES/50GM/PLPCH,50,50GM,PLPCH,,1703744651051-naturelac paints -pvt-ltd-naturelac#3.png
202312,1,45886462,11201010012,1703223192690,6,JAKAY MARKETING SERVICES (PVT) LTD,KEELS,KEELS MARIE BISCUITS/80G/PLPCH,81,80G,PLPCH,,1703223192690-jakay marketing services -pvt- ltd-keels#3.png
202312,1,86557992,13723010001,1703415344360,12,"EKATERRA CEYLON (PVT)LTD ","BROOKE BOND LAOJEE ",BROOKE BOND LAOJEE/50/GM/PLPCH/PURE CEYLON BLACK TEA/SAVE RS.25/=,130,"50GM ","PLPCH ",,1703223192690-jakay marketing services -pvt- ltd-keels#3.png
202312,1,86557992,13723010001,1702441632494,21,"KANDASAMI ENTERPRISE ",SUPER CLEAN,"SUPER CLEAN/500/ML/PBT/TILE CLEANER CALCIUM REMOVER ",380,"500ML ",PBT,,1703223192690-jakay marketing services -pvt- ltd-keels#3.png
202312,1,86557992,13723010001,1704007066909,28,"CHAMIKA FOOD PRODUCTS ",CHAMIKA,"CHAMIKA/1000/GM/PLPCH/CHILLI POWDER ",1900,"1000GM ","PLPCH ",,1704007066909-chamika food products -chamika#3.png
202312,1,86557992,13723010001,1704008832103,12,"EKATERRA CEYLON (PVT)LTD ","BROOKE BOND LAOJEE ",BROOKE BOND LAOJEE/200/GM/PLPCH/PURE CEYLON BLACK TEA/SAVE RS.100/=,520,"200GM ","PLPCH ",,1704008832103-ekaterra ceylon -pvt-ltd -brooke bond laojee #3.png
202312,1,86557992,13723010001,1704011202207,9,MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,"MALIBAN/200/GM/CDB/FULL CREAM MILK ",500,"200GM ",CDB,,1704011202207-maliban milk product -pvt- ltd-maliban#3.png
