PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202501,1,130510794,14029010004,1737800248376,27,UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",350,140GM(110G×30G),CDB,,1737800248376-unilever sri lanka ltd-lever ayush#3.png
202501,1,130510794,14029010004,1738318748043,9,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,"PELWATTE/200/GM/PLPCH/FULL CREAM ",540,200GM,"PLPCH ",,1738318748043-pelwatte dairy industries -pvt- ltd-pelwatte#3.png
202501,1,130510794,14029010004,1737789078955,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),"VOLIN ",VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,90,"80GM ",CDB,,1737789078955-godakanda herbals -pvt- ltd - -vendol lanka--volin #3.png
202501,1,130510794,14029010004,1738144217472,43,JANRICH FOODS LTD,MAYA,"MAYA/325/ML/PBT/SOY SAUCE ",220,325ML,PBT,,1738144217472-janrich foods ltd-maya#3.png
202501,1,130510794,14029010004,1737695488266,6,CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,"CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM ",300,310GM,"PLPCH ",,1737695488266-cherish biscuit -pvt- ltd-cherish kit-o#3.png
202501,1,130510794,14029010004,1737715521138,10,PRABODHI FOOD PRODUCTS,PRABODHI,"PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR ",100,"60GM ","PLPCH ",,1737715521138-prabodhi food products-prabodhi#3.png
202501,1,130510794,14029010004,1737700183308,11,PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS/1/NO/COLA FLAVOURED BUBBLE GUM FILLED LOLLIPOP(14GM),50,1NO,,,1737700183308-perfetti van melle lanka -pvt- ltd-chupa chups#3.png
202501,1,130510794,14029010004,1736837440352,24,NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,120,"75GM ","PLPCH ",,1737700183308-perfetti van melle lanka -pvt- ltd-chupa chups#3.png
202501,1,130510794,14029010004,1737796592931,13,SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,575,350GM(70G×5),CDB,,1737796592931-swadeshi industrial works ltd-khomba#3.png
202501,1,130510794,14029010004,1737715390391,10,PRABODHI FOOD PRODUCTS,PRABODHI,"PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR ",100,"60GM ","PLPCH ",,1737715390391-prabodhi food products-prabodhi#3.png
202501,1,119972591,11201010019,1737353623212,26,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,470,175ML,PLBOT,,1737353623212-unilever sri lanka ltd-lifebuoy#3.png
202501,1,119972591,11201010019,1737356065985,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,220,75GM,CDBOX,,1737356065985-sanjeewaka ayurvedic products-chandanalepa#3.png
202501,1,119972591,11201010019,1737356204874,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,220,75GM,CDBOX,,1737356204874-sanjeewaka ayurvedic products-chandanalepa#3.png
202501,4,111680598,11301040009,1737784385792,4,CEYLON COLD STORES,"ELEPHANT HOUSE ","ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML ",450,320ML,CUP,,1737784385792-ceylon cold stores-elephant house #3.png
202501,1,41533587,12102010001,1736398375412,13,NATURE'S BEAUTY CREATIONS LTD,MISUMI,MISUMI KIYO BEAUTY SOAP/65/GM/CD BOX,115,65GM,CD BOX,,1737784385792-ceylon cold stores-elephant house #3.png
202501,1,792829,19443010001,1737011847464,16,UDAKANDA INDUSTRIES,SAPUMAL,SAPUMAL DETERGENT SOPE 150 GM,80,150 GM,EWRPK,,1737784385792-ceylon cold stores-elephant house #3.png
202501,1,113830155,81301010012,1737006699280,19,UNILEVER SRI LANKA LTD,POND'S,POND'S/23/GM/CDBOX/BRIGHT BEAUTY SERUM CREAM NINCINAMIDE 98% PURE VITAMIN B3 ANTI-SPOT FORMULA/SAVE RS 90,590,23GM,"CDBOX ",,1737784385792-ceylon cold stores-elephant house #3.png
202501,1,113830155,81301010012,1738219600430,21,RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/POWER PLUS 10X ORIGINAL/SAVE RS 50,430,500ML,"PLBOT ",,1738219600430-reckitt benckiser -lanka- ltd-harpic#3.png
202501,1,101063682,20566010001,1737975026473,24,NESTLE LANKA,MAGGI,"MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ",120,75G,"PLPCH ",,1738219600430-reckitt benckiser -lanka- ltd-harpic#3.png
202501,1,101063682,20566010001,1736584130052,6,MALIBAN BISCUIT MANUFACTORIES,"MALIBAN ",MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,420,490G,"PLPCH ",,1738219600430-reckitt benckiser -lanka- ltd-harpic#3.png
202501,1,131554171,13426010004,1738132171880,26,A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,570,180ML,PBT,,1738132171880-a-baur - co-pvt ltd-parachute natural#3.png
202501,1,131554171,13426010004,1738131996436,26,A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,570,180ML,PBT,,1738131996436-a-baur - co-pvt ltd-parachute natural#3.png
202501,1,131554171,13426010004,1736310505778,19,UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,900,200ML,PBT,,1738131996436-a-baur - co-pvt ltd-parachute natural#3.png
202501,1,131554171,13426010004,1738131645644,26,HARUMI HOLDINGS (PVT) LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,0,180ML,PBT,Delete the Item,1738131645644-harumi holdings -pvt- ltd-parachute natural#3.png
202501,1,87634231,82201010010,1738299809006,24,NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,120,75GM,"PLPCH ",,1738299809006-nestle lanka-maggi#3.png
202501,1,87634231,82201010010,1738207991036,6,SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,280,315G,PLPCH,,1738299809006-nestle lanka-maggi#3.png
