itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate
10001,ELEPHANT APPLE SODA-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT APPLE SODA,PET,APPLE SODA,APPLE SODA,500,ML,500.00 ML,200802
10005,CAMEL ASTO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,202007
10006,CAMEL ASTO-PET 400 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,400,ML,400.00 ML,201708
10007,CAMEL ASTO-PET 750 ML,2,SOFT DRINKS-SRILANKA,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,BLACK CURRANT,BLACK CURRANT,750,ML,750.00 ML,202007
10008,ELEPHANT NECTO-CAN 330 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,CAN,BLACK CURRANT,BLACK CURRANT,330,ML,330.00 ML,201604
10009,ELEPHANT NECTO-PET 1000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,1000,ML,1000.00 ML,201311
10010,ELEPHANT NECTO-PET 1500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,1500,ML,1500.00 ML,200701
10011,ELEPHANT NECTO-PET 2000 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,2000,ML,2000.00 ML,201403
10012,ELEPHANT NECTO-PET 350 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,350,ML,350.00 ML,201801
10013,ELEPHANT NECTO-PET 500 ML,2,SOFT DRINKS-SRILANKA,CEYLON COLD STORES,ELEPHANT NECTO,PET,BLACK CURRANT,BLACK CURRANT,500,ML,500.00 ML,200710
