file,AUDITYPE,BRAND,CATEGORY,CODE COMMENT,COMMENTS,DATE,DLRCODE,FLAG,IMAGE,ITEMCODE,ITEMDESC,MANUFACTURE,MRP,NEW_CODES,PACKSIZE,PACKTYPE,PERIOD,STORECODE
apr-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
apr-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
apr-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
aug-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
aug-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
aug-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
dec-22.csv,,string,int,string,string,string,,int,string,int,string,string,string,float,string,string,int,int
dec-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
dec-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,int,string,string,int,int
feb-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
feb-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,int,string,string,int,int
feb-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,int,string,string,int,int
jan-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
jan-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
jan-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
jul-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
jul-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,float,string,string,int,int
jul-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,float,string,string,int,int
jun-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
jun-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,string,string,string,int,int
jun-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
mar-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
mar-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
mar-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
may-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
may-23.csv,int,string,float,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
may-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,float,string,string,int,int
nov-22.csv,,string,float,string,string,string,,float,string,float,string,string,float,float,string,string,float,float
nov-23.csv,int,string,int,string,float,string,int,int,string,int,string,string,int,float,string,string,int,int
nov-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,float,int,string,string,int,int
oct-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
oct-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
oct-24.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
sep-22.csv,,string,int,string,string,string,,int,string,int,string,string,float,float,string,string,int,int
sep-23.csv,int,string,int,string,string,string,int,int,string,int,string,string,int,int,string,string,int,int
sep-24.csv,int,string,int,string,float,string,int,int,string,int,string,string,int,int,string,string,int,int
transaction.csv,float,string,float,string,string,string,float,float,string,float,string,string,string,string,string,string,float,float
