DATE,PERIOD,STORECODE,ITEMCODE,NEW_CODES,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,CODE COMMENT,FLAG
2022-11-23 00:00:00,202211,130254973,1669107381065,99764385,123,ALOK UDHYOG SAMITI-INDIA,JAY GREEN,JAY GREEN/DETERGENT CAKE/105GM/PPH,8,PPH,105GM,,1669107381065-alok udhyog samiti-india-jay green#3.png,RECODING,5
2022-11-23 00:00:00,202211,130403386,1669100801737,99764386,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS/SMALL/5 PCS/PPH,100,PPH,5 PCS,,1669100801737-a-g- health industries pvt ltd-nepal-sagun baby diapers#3.png,RECODING,5
2022-11-23 00:00:00,202211,130403386,1669098022612,99764387,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/SPICY MAZZA/3.2GM/PPH,1,PPH,3.2GM,,1669098022612-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-11-23 00:00:00,202211,115069915,1669102737081,99764389,122,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/750/GM/PPH,100,PPH,750 GM,,1669102737081-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5
2022-11-23 00:00:00,202211,115069915,1669102870234,99764388,122,JANUKA & SONS INDUSTRIES-NEPAL,API GREEN HERBAL GHADI ,API GREEN HERBAL GHADI/350/GM/PPH,50,PPH,350 GM,,1669102870234-januka - sons industries-nepal-api green herbal ghadi #3.png,RECODING,5
2022-11-24 00:00:00,202211,128997655,1669181574420,99764390,117,UNILEVER NEPAL LTD-NEPAL,DOVE NUTRITIVE SOLUTIONS,DOVE NUTRITIVE SOLUTIONS/DAILY SHINE/325ML/PBT,340,PBT,325ML,,1669181574420-unilever nepal ltd-nepal-dove nutritive solutions#3.png,RECODING,5
2022-11-24 00:00:00,202211,124916559,1669193517248,99764391,132,THE HIMALAYA DRUG COMPANY INDIA ,HIMALAYA TOTAL CARE BABY PANTS,HIMALAYA TOTAL CARE BABY PANTS/MEDIUM/9 PANTS/PPH,216,PPH,9 PANTS ,,1669193517248-the himalaya drug company india -himalaya total care baby pants#3.png,RECODING,5
2022-11-24 00:00:00,202211,124621587,1669187073514,99764392,110,PREM HENNA PVT LTD-INDIA,NISHA QUICK COLOR,NISHA QUICK COLOR SHAMPOO BASED HAIR COLOR/ORIGINAL BLACK/20ML/PPH,50,PPH,20ML,,1669187073514-prem henna pvt ltd-india-nisha quick color#3.png,RECODING,5
2022-11-24 00:00:00,202211,124567392,1669184105457,99763729,116,PAGODA INTERNATIONAL LTD-NPL,BEAUTY PLUS,BEAUTY PLUS/FEEL COMFORT & CONFIDENCE/7PADS/PPH,60,PPH,7 PADS,,1669184105457-pagoda international ltd-npl-beauty plus#3.png,CROSS CODING,2
2022-11-24 00:00:00,202211,124567392,1669183333025,99764393,130,SAFE GUARD CONTRACPTVS P LT-IN,D'LAY,D'LAY DOTTED/ORANGE/3 PCS/CBP,50,CBP,3 PCS,,1669183333025-safe guard contracptvs p lt-in-d-lay#3.png,RECODING,5
2022-11-25 00:00:00,202211,123262051,1669272565941,99764402,122,HIMGIRI HYGIENE PVT LTD-NEPAL,SHAKTI DETERGENT POWER,SHAKTI DETERGENT POWER\350\GM,20,PPH,350 GM,New SKU,1669272565941-himgiri hygiene pvt ltd-nepal-shakti detergent power#3.png,RECODING,5
2022-11-25 00:00:00,202211,130971813,1669269954473,99764403,123,MAKALU SOAP-NEPAL,JHILKE ,JHILKE\250GM\PPH\PRIMIUM LAUNDRY SOAP ,55,PPH ,250GM,,1669269954473-makalu soap-nepal-jhilke #3.png,RECODING,5
2022-11-25 00:00:00,202211,127031725,1669272981061,99764398,120,JYOTHY LABORATORIES LTD-INDIA,MARGO,MARGO\43GM\EWP\NEEM,16,EWP,43GM,,1669272981061-jyothy laboratories ltd-india-margo#3.png,RECODING,5
2022-11-25 00:00:00,202211,127031725,1669272663822,99764399,120,HINDUSTAN UNILEVER LTD-INDIA,LUX ,LUX\23GM\PPH\VELVETY GLOW ,8,PPH,23GM,,1669272663822-hindustan unilever ltd-india-lux #3.png,RECODING,5
2022-11-25 00:00:00,202211,130646198,1669266335963,99764404,123,SHIV SHAKTI OIL & FATS-NP,SWIFT,SWIFT\250GM\PPH\LAUNDRY SOAP ,50,PPH,250GM,,1669266335963-shiv shakti oil - fats-np-swift#3.png,RECODING,5
2022-11-25 00:00:00,202211,130646198,1669267666095,99764396,106,DAZZY PRODUCTS-PVT.LTDINDIA ,DAZZY  GOLD,DAZZY GOLD\6GM\PPH\MANGO,4,PPH,6GM,,1669267666095-dazzy products-pvt-ltdindia -dazzy  gold#3.png,RECODING,5
2022-11-25 00:00:00,202211,130646198,1669267848626,99764395,106,DAZZY PRODUCTS-PVT.LTDINDIA ,DAZZY  GOLD,DAZZY GOLD\6GM\PPH\ROSE,4,PPH,6GM,,1669267848626-dazzy products-pvt-ltdindia -dazzy  gold#3.png,RECODING,5
2022-11-25 00:00:00,202211,130646198,1669267935494,99764394,106,DAZZY PRODUCTS-PVT.LTDINDIA ,DAZZY  GOLD,DAZZY GOLD\6GM\PPH\COCONUT ,4,PPH,6GM,,1669267935494-dazzy products-pvt-ltdindia -dazzy  gold#3.png,RECODING,5
2022-11-25 00:00:00,202211,125735638,1669267863107,99764400,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY NATURE,LIFEBUOY NATURE/ACTIV SILVER FORMULA/90GM/EWP,40,EWP,90GM ,,1669267863107-unilever nepal ltd-nepal-lifebuoy nature#3.png,RECODING,5
2022-11-25 00:00:00,202211,125735638,1669267979459,99764297,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY CARE,LIFEBUOY CARE/ACTIV SILVER FORMULA/90GM/EWP,40,EWP,90GM ,,1669267979459-unilever nepal ltd-nepal-lifebuoy care#3.png,CROSS CODING,2
2022-11-25 00:00:00,202211,125735638,1669269184174,99764397,117,UNILEVER NEPAL LTD-NEPAL,DOVE NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/HAIR FALL RESCUE CONDITIONER/6.5ML/SCT,4,SCT,6.5ML,,1669269184174-unilever nepal ltd-nepal-dove nutritive solutions #3.png,RECODING,5
2022-11-25 00:00:00,202211,126253338,1669274184394,99764401,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY TOTAL PROTECT ,LIFEBUOY TOTAL PROTECT/ACTIV SILVER FORMULA/43GM/EWP,18,EWP,43GM ,,1669274184394-unilever nepal ltd-nepal-lifebuoy total protect #3.png,RECODING,5
2022-11-25 00:00:00,202211,126253338,1669272650101,99764405,132,JASMINE HYGIENIC - NEPAL,CUDDLERS PANTS,CUDDLERS PANTS OVERNIGHT/LARGE/4 PCS/PPH,100,PPH,4 PCS,,1669272650101-jasmine hygienic - nepal-cuddlers pants#3.png,RECODING,5
2022-11-25 00:00:00,202211,126253338,1669269184174,99764397,117,UNILEVER NEPAL LTD-NEPAL,DOVE NUTRITIVE SOLUTIONS ,DOVE NUTRITIVE SOLUTIONS/HAIR FALL RESCUE CONDITIONER/6.5ML/SCT,6,SCT,6.5ML,,1669269184174-unilever nepal ltd-nepal-dove nutritive solutions #3.png,RECODING,5
2022-11-26 00:00:00,202211,124866555,1669363010825,99764408,122,DINESH SOAP & HOUSEHOLD-NPL,DINESH 3IN1,DINESH 3IN1/GREEN LIME/750GM/PPH,100,PPH,750GM ,,1669363010825-dinesh soap - household-npl-dinesh 3in1#3.png,RECODING,5
2022-11-26 00:00:00,202211,124866555,1669358295363,99764406,106,SUJAL FOODS PVT LTD-NEPAL,SMART LOLLYPOP,SMART LOLLIPOP/LITCHI/9GM/PPH,5,PPH,9GM,,1669358295363-sujal foods pvt ltd-nepal-smart lollypop#3.png,RECODING,5
2022-11-26 00:00:00,202211,124866555,1669363381360,99764409,122,NEPCHEM GROUP-NEPAL,NEP-X,NEP-X PREMIUM/450GM/PPH,50,PPH,450GM ,,1669363381360-nepchem group-nepal-nep-x#3.png,RECODING,5
2022-11-26 00:00:00,202211,124866555,1669098022612,99764387,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY/SPICY MAZZA/3.2GM/PPH,1,PPH,3.2GM,,1669098022612-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5
2022-11-26 00:00:00,202211,124683707,1669355963081,99764410,123,SHIVANI DETERGENTS-INDIA,SARGAM PLUS,SARGAM PLUS/75GM/PPH/25GM FREE,8,PPH,75GM ,,1669355963081-shivani detergents-india-sargam plus#3.png,RECODING,5
2022-11-26 00:00:00,202211,124683707,1669274184394,99764401,120,UNILEVER NEPAL LTD-NEPAL,LIFEBUOY TOTAL PROTECT ,LIFEBUOY TOTAL PROTECT/ACTIV SILVER FORMULA/43GM/EWP,18,EWP,43GM ,,1669274184394-unilever nepal ltd-nepal-lifebuoy total protect #3.png,RECODING,5
2022-11-26 00:00:00,202211,124683707,1669358295363,99764406,106,SUJAL FOODS PVT LTD-NEPAL,SMART LOLLYPOP,SMART LOLLIPOP/LITCHI/9GM/PPH,5,PPH,9GM,,1669358295363-sujal foods pvt ltd-nepal-smart lollypop#3.png,RECODING,5
2022-11-26 00:00:00,202211,124683707,1669100801737,99764386,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY DIAPERS,SAGUN BABY DIAPERS/SMALL/5 PCS/PPH,100,PPH,5 PCS,,1669100801737-a-g- health industries pvt ltd-nepal-sagun baby diapers#3.png,RECODING,5
2022-11-26 00:00:00,202211,124654335,1669353653545,99764407,116,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN ULTRA ,SAGUN ULTRA/XL WINGS/6 PADS/PPH,65,PPH,6 PADS,,1669353653545-a-g- health industries pvt ltd-nepal-sagun ultra #3.png,RECODING,5
2022-11-26 00:00:00,202211,124620444,1669360725092,99764411,132,PROCTER & GAMBLE - INDIA,PAMPERS ALL NIGHT ,PAMPERS ALL NIGHT/LARGE/23 PANTS/PPH,640,PPH,23 PANTS,,1669360725092-procter - gamble - india-pampers all night #3.png,RECODING,5
2022-11-27 00:00:00,202211,124902886,1669536314115,99764412,106,NAAMDEV FOOD PRODUCTS-INDIA ,SARDAR,SARDAR DELICIOUS/FRUIT LOLLY POP/10GM/PPH,5,PPH,10GM,,1669536314115-naamdev food products-india -sardar#3.png,RECODING,5
