filename,Top1,Top2,Top3
apr-22,0.5515,0.6701,0.7474
apr-23,0.8372,0.9302,0.9302
apr-24,0.8974,0.9231,0.9231
aug-22,0.5833,0.725,0.7833
aug-23,0.8462,0.8462,0.8462
aug-24,0.8,0.85,0.85
dec-22,0.5636,0.7273,0.8073
dec-23,0.8125,0.875,1.0
dec-24,0.9231,1.0,1.0
feb-22,0.5356,0.6653,0.7406
feb-23,0.5714,0.7143,0.8061
feb-24,0.8421,1.0,1.0
jan-22,0.464,0.616,0.704
jan-23,0.6574,0.8056,0.8889
jan-24,0.7778,0.8889,0.8889
jul-22,0.5696,0.6835,0.7468
jul-23,0.7778,0.8889,0.8889
jul-24,0.7143,0.8095,0.8095
jun-22,0.6,0.672,0.728
jun-23,0.8571,0.9143,0.9143
jun-24,0.8,0.9,0.9
mar-22,0.5081,0.6951,0.7398
mar-23,0.8,0.85,0.9
mar-24,0.8261,0.8261,0.8696
may-22,0.561,0.6524,0.7195
may-23,0.78,0.86,0.88
may-24,0.9231,0.9231,0.9487
nov-22,0.5327,0.6729,0.7477
nov-23,0.6667,0.6667,1.0
nov-24,0.9286,0.9286,0.9286
oct-22,0.6689,0.7568,0.8243
oct-23,0.9286,1.0,1.0
oct-24,1.0,1.0,1.0
sep-22,0.5922,0.7087,0.7767
sep-23,1.0,1.0,1.0
sep-24,0.9091,0.9091,0.9545
transaction_matches,0.614,0.7348,0.7829
transaction,0.559,0.6948,0.7715
