t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-08-09,202308,2,129024634,22101020014,1691472506125,99765079,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,APPY FIZZ\250ML\PBT\APPLE FLAVOUR ,40,250ML,PBT,,,RECODING,5,1,99765079,105.23332977294922,118,PARLE AGRO PVT LTD-INDIA,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0
2023-08-09,202308,2,129024634,22101020014,1691472506125,99765079,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,APPY FIZZ\250ML\PBT\APPLE FLAVOUR ,40,250ML,PBT,,,RECODING,5,5,99763444,141.57994079589844,118,PARLE AGRO PVT LTD-INDIA,FIZZ,FIZZ,MALT PET 250 ML,PET,250.000 ML,MALT,,250.0,ML,30.0
2023-08-09,202308,2,129024634,22101020014,1691472506125,99765079,118,PARLE AGRO PVT LTD-INDIA,APPY FIZZ APPLE,APPY FIZZ\250ML\PBT\APPLE FLAVOUR ,40,250ML,PBT,,,RECODING,5,7,99765000,163.75148010253906,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,APPY,APPY FIZZ APPLE,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,50.0
2023-08-09,202308,2,126901159,52202020008,1691383288403,99765080,134,SETI BEVERAGE INDUSTRIES NEPAL ,SETI JAL,SETI JAL/DRINKING WATER/1000ML/PBT,25,1000ML ,PBT,Sales Deviation is OK,,RECODING,5,1,99765080,163.69105529785156,118,SETI BEVERAGE INDUSTRIES-NEPAL,SETI JAL,SETI JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-08-09,202308,2,126901159,52202020008,1691383288403,99765080,134,SETI BEVERAGE INDUSTRIES NEPAL ,SETI JAL,SETI JAL/DRINKING WATER/1000ML/PBT,25,1000ML ,PBT,Sales Deviation is OK,,RECODING,5,4,99764546,199.41949462890625,118,BHADRAKALI DRINKING WATER-NEPAL,KUBER JAL,KUBER JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2023-08-14,202308,2,125080524,21301020034,1691737659365,99765081,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI\600\ML,80,600ML,PET,New SKU,1691737659365-singapore beverage-nepal-lemonzaaaaa nimbu pani#3.png,RECODING,5,5,99765081,80.6500473022461,118,SINGAPORE BEVERAGE-NEPAL,LEMONZAAAAA NIMBU PANI,LEMONZAAAAA NIMBU PANI,LEMON PET 600 ML,PET,600.000 ML,LEMON,,600.0,ML,80.0
2023-08-14,202308,2,122330419,12303020004,1691658208686,99765082,134,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL-PET 500ML,15,500ML,PET,Sales Deviation is OK,1691658208686-om pathibhara food - bev-np-oasis jal#3.png,RECODING,5,1,99765082,133.76547241210938,118,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL,PET 500 ML,PET,500.000 ML,,,500.0,ML,15.0
2023-08-14,202308,2,122330419,12303020004,1691658208686,99765082,134,OM PATHIBHARA FOOD & BEV-NP,OASIS JAL,OASIS JAL-PET 500ML,15,500ML,PET,Sales Deviation is OK,1691658208686-om pathibhara food - bev-np-oasis jal#3.png,RECODING,5,6,99765270,198.85211181640625,118,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST,MIXED FRUIT PET 500 ML,PET,500.000 ML,MIXED FRUIT,,500.0,ML,90.0
2023-08-14,202308,2,128827344,31101020050,1691645381753,99765083,134,CG FOODS- NEPAL,RIO KDS LUV,RIO-ABC KDS LUV TPK 200ML ,40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png,RECODING,5,1,20110165,158.16665649414062,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,0.0
2023-08-14,202308,2,128827344,31101020050,1691645381753,99765083,134,CG FOODS- NEPAL,RIO KDS LUV,RIO-ABC KDS LUV TPK 200ML ,40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png,RECODING,5,3,49635,166.3695526123047,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-08-14,202308,2,128827344,31101020050,1691645381753,99765083,134,CG FOODS- NEPAL,RIO KDS LUV,RIO-ABC KDS LUV TPK 200ML ,40,200ML,TPK,,1691645381753-cg foods- nepal-rio kds luv#3.png,RECODING,5,10,20110376,170.73193359375,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,7 FRUITS TPK 200 ML,TPK,200.000 ML,MIXED FRUIT,,200.0,ML,0.0
2023-08-14,202308,2,124775456,21301020033,1691646071450,99765083,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png,RECODING,5,1,99765083,137.90301513671875,118,CHAUDHARY GROUP - NEPAL,RIO,RIO KIDS LUV,"APPLE,BERRY,CHERRY TPK 200 ML",TPK,200.000 ML,MIXED FRUIT,,200.0,ML,40.0
2023-08-14,202308,2,124775456,21301020033,1691646071450,99765083,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png,RECODING,5,2,20110165,158.79534912109375,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,0.0
2023-08-14,202308,2,124775456,21301020033,1691646071450,99765083,134,CG FOODS- NEPAL,RIO KIDS LUV,RIO KIDS LUV\200\ML,40,200 ML,TPK,New SKU,1691646071450-cg foods- nepal-rio kids luv#3.png,RECODING,5,3,49635,159.74884033203125,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-08-14,202308,2,130605665,52303020011,1691654171687,99765084,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/500ML/PBT/MANGO,80,500ML ,PBT,,1691654171687-sitaz food - beverage industry-np-sitaz boost#3.png,RECODING,5,1,99765084,102.65321350097656,118,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ,SITAZ BOOST,MANGO PET 500 ML,PET,500.000 ML,MANGO,,500.0,ML,80.0
2023-08-14,202308,2,130605665,52303020011,1691654171687,99765084,134,SITAZ FOOD & BEVERAGE INDUSTRY-NP,SITAZ BOOST,SITAZ BOOST/500ML/PBT/MANGO,80,500ML ,PBT,,1691654171687-sitaz food - beverage industry-np-sitaz boost#3.png,RECODING,5,5,99765260,190.9124755859375,118,JAGDAMBA FOODS PVT LTD-NEPAL,CHABAA BOOST,CHABAA BOOST,MANGO PET 500 ML,PET,500.000 ML,MANGO,,500.0,ML,90.0
