t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,3,99765280,123.89934539794922,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUCILO,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
0,13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,5,99765472,143.0636749267578,118,CHAUDHARY GROUP - NEPAL,RIO,RIO MANGO & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
0,13/08/2024,202408,2,130218693,52303020001,1723442321918,99765280,134,CG FOODS- NEPAL,RIO JUCILO,RIO JUCILO/180ML/TPK/MANGO/CG FOODS ,25,180ML ,TPK,,1723442321918-cg foods- nepal-rio jucilo#3.png,RECODING,5,7,99765207,147.97402954101562,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUICE & GLUCOSE,MANGO TPK 180 ML,TPK,180.000 ML,MANGO,,180.0,ML,25.0
1,13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5,1,99765281,12.408931732177734,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH,LEMON PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,270.0
1,13/08/2024,202408,2,126431898,21301020043,1723020196552,99765281,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH-LEMON,NIMBU FRESH-LEMON/2250/ML/RS270,270,2250 ML,PET,New SKU,1723020196552-manakamana fruit - beverage-np-nimbu fresh-lemon#3.png,RECODING,5,10,99763606,108.95014953613281,118,MANAKAMANA FRUIT & BEVERAGE-NP,MAGIC DEW,MAGIC DEW,PET 2250 ML,PET,2250.000 ML,LEMON,,2250.0,ML,190.0
2,13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25,1000ML,PBT,,,RECODING,5,1,99765282,74.45469665527344,118,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25,1000ML,PBT,,,RECODING,5,2,99765038,107.8071517944336,118,NARAYAN BEVERAGE UDHYOG-NPL,AQUA N.B,AQUA N.B,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2,13/08/2024,202408,2,127259807,32201020013,1723095608992,99765282,134,NARAYAN BEVERAGE UDHYOG-NPL,JALPARI,JALPARI PROCESSED DRINKING WATER/PBT/1000ML/25/NARAYAN BEVERAGE UDHYOG-NEPAL,25,1000ML,PBT,,,RECODING,5,4,99765480,132.63168334960938,118,HIM KARNALI WATER & BEVERAGE-NEPAL,HIM-JAL,HIM-JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5,1,99764546,152.88848876953125,118,BHADRAKALI DRINKING WATER-NEPAL,KUBER JAL,KUBER JAL,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
3,13/08/2024,202408,2,130366006,22101020013,1723188960691,99765283,134,A-STAR BIRGUNJ NEPAL ,A-STAR,A-STAR\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,,1723188960691-a-star birgunj nepal -a-star#3.png,RECODING,5,2,99765283,155.7631072998047,118,A-STAR-NEPAL,A-STAR,A-STAR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
