t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,1,99764534,107.6113510131836,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PCN 1680 GM,PLJAR,1680.000 GM,UNSPECIFIED,,1680.0,GM,500.0
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,2,99764700,107.78771209716797,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 336 GM,PLPCH,336.000 GM,UNSPECIFIED,,336.0,GM,80.0
2022-12-19,202212,123262051,1671349211288,99764499.0,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY\200\UNITS,150,JAR,200 UNITS,New SKU,1671349211288-sujal foods pvt ltd-nepal-rasilo candy#3.png,RECODING,5,3,99764584,108.31661224365234,106,SUJAL FOODS PVT LTD-NEPAL,RASILO CANDY,RASILO CANDY,RASILO CANDY- CHATPATA MAZZA PPH 335 GM,PLPCH,335.000 GM,UNSPECIFIED,,335.0,GM,100.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,1,91826974,143.98486328125,106,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- ORANGE PPH 5.2 GM,PLPCH,5.200 GM,ORANGE,,5.2,GM,0.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,2,99764497,148.00527954101562,106,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- CHOCO PCN 714 GM,PLJAR,714.000 GM,CHOCOLATE,,714.0,GM,500.0
2022-12-19,202212,123262051,1671349468910,99764497.0,106,LOTTE INDIA-INDIA,LOTTE ECLAIRS,LOTTE ECLAIRS\234\UNITS,500,JAR,234 UNITS,New SKU,1671349468910-lotte india-india-lotte eclairs#3.png,RECODING,5,3,91826975,149.40670776367188,106,LOTTE INDIA-INDIA,LOTTE,LOTTE ECLAIRS,LOTTE ECLAIRS- STRAWBERRY PPH 5.2 GM,PLPCH,5.200 GM,STRAWBERRY,,5.2,GM,0.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,1,99764495,101.70479583740234,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ,KOKO HEARTZ- COCONUT CANDY PCN 836 GM,PLJAR,836.000 GM,COCONUT,,836.0,GM,400.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,2,91826845,103.94209289550781,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ,KOKO HEARTZ- COCONUT CANDY PPH 4.5 GM,PLPCH,4.500 GM,COCONUT,,4.5,GM,0.0
2022-12-19,202212,123262051,1671349703220,99764495.0,106,PRAYAGH NUTRI PRODUCT-INDIA,KOKO HEARTZ,KOKO HEARTZ\229\UNITS\RS400,2,JAR,220 UNITS,New SKU,1671349703220-prayagh nutri product-india-koko heartz#3.png,RECODING,5,3,91826640,121.96043395996094,106,PRAYAGH NUTRI PRODUCT-INDIA,CINTU,CINTU HEARTS,CINTU HEARTS- PPH 3 GM,PLPCH,3.000 GM,UNSPECIFIED,,3.0,GM,0.0
2022-12-19,202212,123262051,1671350233325,99764513.0,123,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA\200\GM,50,PPH,200 GM,New SKU,1671350233325-aarati soap - chemicals -nepal-dhara#3.png,RECODING,5,1,93017136,82.98138427734375,122,AARATI SOAP & CHEMICALS -NEPAL,DHARA,DHARA,DHARA-PPH 500 GMS,PLPCH,500.000 GM,,,500.0,GM,0.0
