t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2023-06-12,202306,3,3110101957,31101030486,1686297313972,DELETE,125,PUJA TOBACCO PACKING INDUSTRIES,TAJA ,TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,1686297313972-puja tobacco packing industries-taja #3.png,DELETE THE ITEM,1,4,99765088,190.40267944335938,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA SUPER POWER,TAZA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0
2023-06-12,202306,2,129173662,32201020018,1686195784188,99765044,134,NEPAL SOFT DRINKS UDHYOG-NEPAL,SWAAD LITCHI DRINK,SWAAD LITCHI DRINK/PBT/125ML+25ML/RS20/NEPAL SOFT DRINKS UDHYOG-NEPAL,20,125ML+25ML,PBT,,1686195784188-nepal soft drinks udhyog-nepal-swaad litchi drink#3.png,RECODING,5,5,99765276,128.29852294921875,118,SAMBHAVI BEVERAGE-NEPAL,P.R.S,P.R.S,LITCHI PET 125 ML,PET,125.000 ML,LYCHEE,,125.0,ML,20.0
2023-06-12,202306,2,111509030,12101020021,1686109155842,99765045,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND PROCESSED DRINKING WATER - PBT 1000 ML.SUNSARI FOOD & BEVERAGE UDHYOD NEPAL,20,1000 ML.,PBT,Sales Deviation is OK,1686109155842-sunsari food - beverage udhyog nepal-aqua diamond#3.png,RECODING,5,1,99765045,140.49191284179688,118,SUNSARI FOOD & BEVERAGE UDHYOG-NP,AQUA DIAMOND,AQUA DIAMOND,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
2023-06-12,202306,2,111509030,12101020021,1686109155842,99765045,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND PROCESSED DRINKING WATER - PBT 1000 ML.SUNSARI FOOD & BEVERAGE UDHYOD NEPAL,20,1000 ML.,PBT,Sales Deviation is OK,1686109155842-sunsari food - beverage udhyog nepal-aqua diamond#3.png,RECODING,5,3,40110810,157.3195343017578,118,AQUA SUNDARI PVT LTD-NEPAL,AQUA DB,AQUA DB,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2023-06-12,202306,2,111509030,12101020021,1686109155842,99765045,134,SUNSARI FOOD & BEVERAGE UDHYOG NEPAL,AQUA DIAMOND,AQUA DIAMOND PROCESSED DRINKING WATER - PBT 1000 ML.SUNSARI FOOD & BEVERAGE UDHYOD NEPAL,20,1000 ML.,PBT,Sales Deviation is OK,1686109155842-sunsari food - beverage udhyog nepal-aqua diamond#3.png,RECODING,5,9,40111001,167.49842834472656,118,AQUA MINERAL NEPAL LTD.- NEPAL,AQUA HUNDRED,AQUA HUNDRED,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2023-06-12,202306,2,126758637,32201020029,1686115934891,99764474,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY MANIA,FIZZY MANIA/PBT/250ML/50/APPLE JUICE/HYGEN PACKS NEPAL PVT LTD-NEPAL,50,250ML,PBT,,1686115934891-hygen packs nepal pvt ltd-nepal-fizzy mania#3.png,CROSS CODING,2,1,99764474,109.39531707763672,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY,FIZZY MANIA,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,45.0
2023-06-12,202306,2,126758637,32201020029,1686115934891,99764474,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY MANIA,FIZZY MANIA/PBT/250ML/50/APPLE JUICE/HYGEN PACKS NEPAL PVT LTD-NEPAL,50,250ML,PBT,,1686115934891-hygen packs nepal pvt ltd-nepal-fizzy mania#3.png,CROSS CODING,2,3,99764475,134.6202392578125,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA ZEERA MASALA,APPLE PET 250 ML,PET,250.000 ML,APPLE,,250.0,ML,40.0
2023-06-12,202306,2,126758637,32201020029,1686115934891,99764474,134,HYGEN PACKS NEPAL PVT LTD-NEPAL,FIZZY MANIA,FIZZY MANIA/PBT/250ML/50/APPLE JUICE/HYGEN PACKS NEPAL PVT LTD-NEPAL,50,250ML,PBT,,1686115934891-hygen packs nepal pvt ltd-nepal-fizzy mania#3.png,CROSS CODING,2,5,99765440,154.71383666992188,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA NIMBOO,PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
2023-06-12,202306,2,126772392,52202020001,1686031679858,99765046,134,KGN DRINKING WATER INDUSTRIES NEPAL ,KGN,KGN PROCESSED DRINKING WATER/20000ML/PBT,80,20000ML,PBT,Sales Deviation is OK,1686031679858-kgn drinking water industries nepal -kgn#3.png,RECODING,5,3,99765046,187.8448486328125,118,KGN DRINKING WATER INDUSTRIES-NPL,KGN,KGN,JAR 20000 ML,JAR,20000.000 ML,,,20000.0,ML,80.0
2023-06-12,202306,2,112202294,42303020015,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,1685944324309-cg foods- nepal-rio mango#3.png,CROSS CODING,2,1,49635,175.93276977539062,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-06-12,202306,2,112202294,42303020015,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,1685944324309-cg foods- nepal-rio mango#3.png,CROSS CODING,2,2,99762364,176.17703247070312,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUCILO,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
2023-06-12,202306,2,112202294,42303020015,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,1685944324309-cg foods- nepal-rio mango#3.png,CROSS CODING,2,3,20110011,184.1522216796875,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-06-12,202306,2,116596450,42303020016,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,,CROSS CODING,2,1,49635,170.47833251953125,118,CG FOODS- NEPAL,RIO,RIO JUCILO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-06-12,202306,2,116596450,42303020016,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,,CROSS CODING,2,2,99762364,181.8407745361328,118,CHAUDHARY GROUP - NEPAL,RIO,RIO JUCILO,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
2023-06-12,202306,2,116596450,42303020016,1685944324309,20110457,134,CG FOODS- NEPAL,RIO MANGO,RIO/CGFOODS/MANGO ALFONSO/TPK /RS 25200,25,200ML,TPK,Sales Deviation is OK,,CROSS CODING,2,3,20110011,191.96202087402344,118,CHAUDHARY GROUP - NEPAL,RIO,RIO,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2023-06-13,202306,2,130258571,52303020007,1686536158723,99765047,118,CAVA FOODS & BEVERAGES-INDIA,CAVA ORANGE ,CAVA ORANGE/250ML/PBT,20,250ML ,PBT,Sales Deviation is OK,1686536158723-cava foods - beverages-india-cava orange #3.png,RECODING,5,1,99765047,165.55474853515625,118,CAVA FOODS & BEVERAGES-INDIA ,CAVA,CAVA ORANGE,PET 250 ML,PET,250.000 ML,ORANGE,,250.0,ML,20.0
2023-06-13,202306,2,130258571,52303020007,1686536158723,99765047,118,CAVA FOODS & BEVERAGES-INDIA,CAVA ORANGE ,CAVA ORANGE/250ML/PBT,20,250ML ,PBT,Sales Deviation is OK,1686536158723-cava foods - beverages-india-cava orange #3.png,RECODING,5,2,92117657,191.64549255371094,117,CAVIN KARE LTD - INDIA,CHIK,CHIK,CHIK-PBT 250 ML,PLBOT,250.000 ML,,,250.0,ML,0.0
2023-06-13,202306,3,3110102779,31101030400,1686297313972,DELETE,125,PUJA TOBACCO PACKING INDUSTRIES,TAJA ,TAJA SUPER POWER\8GM\PPH\RS:20\PUJA TOBACCO PACKING INDUSTRY NEPAL,20,8GM,PPH,Sales Deviation is OK,,DELETE THE ITEM,1,4,99765088,198.4984130859375,125,PUJA TOBACCO PACKING INDUSTRIES,TAZA SUPER POWER,TAZA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0
2023-06-14,202306,2,130675914,31101020077,1686640736592,99765048,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,PBT ,,1686640736592-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,1,99765048,84.89221954345703,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,RED APPLE PET 320 ML,PET,320.000 ML,APPLE,,320.0,ML,150.0
2023-06-14,202306,2,130675914,31101020077,1686640736592,99765048,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,PBT ,,1686640736592-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,2,99765049,132.23631286621094,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,ORANGE PET 320 ML,PET,320.000 ML,ORANGE,,320.0,ML,150.0
2023-06-14,202306,2,130675914,31101020077,1686640736592,99765048,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-RED APPLE PBT 320ML,150,320ML,PBT ,,1686640736592-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,3,99765055,135.54730224609375,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,PINEAPPLE PET 320 ML,PET,320.000 ML,PINEAPPLE,,320.0,ML,150.0
2023-06-14,202306,2,130675914,31101020077,1686640539821,99765049,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,PBT ,,1686640539821-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,1,99765049,89.03352355957031,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,ORANGE PET 320 ML,PET,320.000 ML,ORANGE,,320.0,ML,150.0
2023-06-14,202306,2,130675914,31101020077,1686640539821,99765049,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,PBT ,,1686640539821-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,2,99764902,121.03233337402344,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,PEACH PET 320 ML,PET,320.000 ML,PEACH,,320.0,ML,140.0
2023-06-14,202306,2,130675914,31101020077,1686640539821,99765049,134,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER-ORANGE PBT 320ML,150,320ML,PBT ,,1686640539821-thai victor food co-ltd-thailand-joiner#3.png,RECODING,5,3,99764904,124.3963394165039,118,THAI VICTOR FOOD CO.LTD-THAILAND,JOINER,JOINER,POMEGRANATE PET 320 ML,PET,320.000 ML,POMEGRANATE,,320.0,ML,140.0
2023-06-14,202306,2,130675914,31101020077,1686640105866,99765050,134,POKHARA NATURAL FOODS & BEVERAGE PVT LTD ,GLAZE,GLAZE PBT 1 LTR,25,1 L,PBT ,,1686640105866-pokhara natural foods - beverage pvt ltd -glaze#3.png,RECODING,5,1,99765087,132.37008666992188,118,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZE,PET 500 ML,PET,500.000 ML,,,500.0,ML,25.0
2023-06-14,202306,2,130675914,31101020077,1686640105866,99765050,134,POKHARA NATURAL FOODS & BEVERAGE PVT LTD ,GLAZE,GLAZE PBT 1 LTR,25,1 L,PBT ,,1686640105866-pokhara natural foods - beverage pvt ltd -glaze#3.png,RECODING,5,2,99765050,136.43540954589844,118,POKHARA NATURAL FOOD & BEVERAGE-NP,GLAZE,GLAZE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
