t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,1,99765098,77.49506378173828,118,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
0,2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,2,99762595,136.22409057617188,118,ASP NATURAL RESOURCES PVT LTD-NEPAL,ROYAL B & D,ROYAL B & D,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,30.0
0,2023-10-10,202310,2,128846077,22101020019,1696734410850,99765098,134,ASP NATURAL RESOURCES PVT LTD-NEPAL,DROP,DROP\1000ML\PBT\MINERAL WATER ,25,1000ML,PBT,Sales Deviation is OK,1696734410850-asp natural resources pvt ltd-nepal-drop#3.png,RECODING,5,3,40121097,139.04127502441406,118,PHULCHOWKI MINERAL WATER-NEPAL,PM,PM,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
1,2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,1,99765099,38.13068389892578,118,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0
1,2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,2,99763312,102.39493560791016,118,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
1,2023-10-10,202310,2,124303166,21301020032,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,Sales Deviation is OK,1696493583267-dugar food - beverage-nepal-dooit guava#3.png,RECODING,5,3,20110021,111.081787109375,118,DUGAR FOOD & BEVERAGE-NEPAL,FROOTI,FROOTI,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2,2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,1,99765097,36.57707977294922,125,NAVYUBAK SURTI FACTORY-NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,20.0
2,2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,2,99764912,129.89187622070312,125,ABINAV SURTI UDHYOG NEPAL,CHAKKA SUPER POWER,CHAKKA SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,GM,25.0
2,2023-10-10,202310,3,1220100003,12201030162,1696322580499,99765097,125,NAVYUBAK SURTI FACTORY NEPAL,JHUM JHUM SUPER POWER,JHUM JHUM SUPER POWER PPH 8G ,20,8G,PPH,,1696322580499-navyubak surti factory nepal-jhum jhum super power#3.png,RECODING,5,6,99762282,145.94151306152344,125,SAHU SURTI BHANDAR,SUPER POWER,SUPER POWER,8G KHAINI,PLAST,8G,REGULAR,,8.0,,0.0
3,2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5,1,99765109,34.67808532714844,118,LS WATER & BEVERAGE-NEPAL ,PRAN,PRAN POWER,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
3,2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5,3,99765426,140.77548217773438,118,LS WATER & BEVERAGE-NEPAL ,IMJA SODA,IMJA SODA,SODA PET 250 ML,PET,250.000 ML,SODA,,250.0,ML,40.0
3,2023-10-11,202310,2,113389746,52204020004,1696923515130,99765109,134,LS WATER & BEVERAGE-NEPAL,PRAN POWER,PRAN POWER/ENERGY DRINK/250ML/CAN,120,250ML ,CAN,,1696923515130-ls water - beverage-nepal-pran power#3.png,RECODING,5,4,99762457,146.84115600585938,118,NEPAL M.D FOOD & BEVERAGE-NEPAL,MAZZAKO DEW,MAZZAKO DEW,PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,35.0
4,2023-10-16,202310,2,111206412,21102020036,1697349961368,99765101,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH/,80,500ML,PBT,,1697349961368-manakamana fruit - beverage-np-nimbu fresh#3.png,RECODING,5,1,99765101,54.21349334716797,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH,LEMON PET 500 ML,PET,500.000 ML,LEMON,,500.0,ML,80.0
4,2023-10-16,202310,2,111206412,21102020036,1697349961368,99765101,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH/,80,500ML,PBT,,1697349961368-manakamana fruit - beverage-np-nimbu fresh#3.png,RECODING,5,5,99764022,111.08375549316406,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESHTA,FRESHTA,ORANGE PET 500 ML,PET,500.000 ML,ORANGE,,500.0,ML,70.0
4,2023-10-16,202310,2,111206412,21102020036,1697349961368,99765101,118,MANAKAMANA FRUIT & BEVERAGE-NP,NIMBU FRESH,NIMBU FRESH/,80,500ML,PBT,,1697349961368-manakamana fruit - beverage-np-nimbu fresh#3.png,RECODING,5,9,52334,129.01377868652344,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESH,FRESH,ORANGE PET 500 ML,PET,500.000 ML,ORANGE,,500.0,ML,0.0
5,2023-10-16,202310,2,111206412,21102020036,1697349680869,99765102,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,50,250ML,PBT,,1697349680869-manakamana fruit - beverage-np-shikanji masala#3.png,RECODING,5,1,99765102,35.3446159362793,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,PET 250 ML,PET,250.000 ML,UNSPECIFIED,,250.0,ML,50.0
5,2023-10-16,202310,2,111206412,21102020036,1697349680869,99765102,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,50,250ML,PBT,,1697349680869-manakamana fruit - beverage-np-shikanji masala#3.png,RECODING,5,2,99765103,90.92021179199219,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,PEACH PET 250 ML,PET,250.000 ML,PEACH,,250.0,ML,50.0
5,2023-10-16,202310,2,111206412,21102020036,1697349680869,99765102,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,50,250ML,PBT,,1697349680869-manakamana fruit - beverage-np-shikanji masala#3.png,RECODING,5,3,99764017,128.44088745117188,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESHTA,FRESHTA,ORANGE PET 250 ML,PET,250.000 ML,ORANGE,,250.0,ML,40.0
6,2023-10-16,202310,2,111206412,21102020036,1697349833637,99765103,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,50,250ML,PBT,,1697349833637-manakamana fruit - beverage-np-peach masti#3.png,RECODING,5,1,99765103,38.00767517089844,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,PEACH PET 250 ML,PET,250.000 ML,PEACH,,250.0,ML,50.0
6,2023-10-16,202310,2,111206412,21102020036,1697349833637,99765103,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,50,250ML,PBT,,1697349833637-manakamana fruit - beverage-np-peach masti#3.png,RECODING,5,2,99765102,93.3765640258789,118,MANAKAMANA FRUIT & BEVERAGE-NP,SHIKANJI MASALA,SHIKANJI MASALA,PET 250 ML,PET,250.000 ML,UNSPECIFIED,,250.0,ML,50.0
6,2023-10-16,202310,2,111206412,21102020036,1697349833637,99765103,118,MANAKAMANA FRUIT & BEVERAGE-NP,PEACH MASTI,PEACH MASTI,50,250ML,PBT,,1697349833637-manakamana fruit - beverage-np-peach masti#3.png,RECODING,5,3,99764017,112.82591247558594,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESHTA,FRESHTA,ORANGE PET 250 ML,PET,250.000 ML,ORANGE,,250.0,ML,40.0
7,2023-10-16,202310,2,128702441,12201020028,1697189732477,99765104,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765104,66.82742309570312,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,PEACH PET 320 ML,PET,320.000 ML,PEACH,,320.0,ML,150.0
7,2023-10-16,202310,2,128702441,12201020028,1697189732477,99765104,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,2,99765128,66.82742309570312,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,PEACH PET 320 ML,PET,320.000 ML,PEACH,,320.0,ML,150.0
7,2023-10-16,202310,2,128702441,12201020028,1697189732477,99765104,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU PEACH FLAVORED DRINK PET 320ML,150,320ML,PET,,1697189732477-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,3,99765189,97.45722961425781,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,STRAWBERRY PET 320 ML,PET,320.000 ML,STRAWBERRY,,320.0,ML,150.0
8,2023-10-16,202310,2,128702441,12201020028,1697190407963,99765105,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU LYCHEE FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190407963-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765105,63.9544792175293,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,LYCHEE PET 320 ML,PET,320.000 ML,LYCHEE,,320.0,ML,150.0
8,2023-10-16,202310,2,128702441,12201020028,1697190407963,99765105,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU LYCHEE FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190407963-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,2,99765129,63.9544792175293,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,LYCHEE PET 320 ML,PET,320.000 ML,LYCHEE,,320.0,ML,150.0
8,2023-10-16,202310,2,128702441,12201020028,1697190407963,99765105,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU LYCHEE FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190407963-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,3,99765106,104.41465759277344,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,BLACK CURRRANT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,150.0
9,2023-10-16,202310,2,128702441,12201020028,1697190261438,99765106,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU BLACKCURRANT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190261438-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765106,76.58321380615234,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,BLACK CURRRANT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,150.0
9,2023-10-16,202310,2,128702441,12201020028,1697190261438,99765106,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU BLACKCURRANT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190261438-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,2,99765130,76.58321380615234,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,BLACK CURRRANT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,150.0
9,2023-10-16,202310,2,128702441,12201020028,1697190261438,99765106,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU BLACKCURRANT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190261438-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,3,99765107,113.72454833984375,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,YOGURT PET 320 ML,PET,320.000 ML,YOGURT,,320.0,ML,150.0
10,2023-10-16,202310,2,128702441,12201020028,1697190090497,99765107,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,1,99765107,57.97368621826172,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,YOGURT PET 320 ML,PET,320.000 ML,YOGURT,,320.0,ML,150.0
10,2023-10-16,202310,2,128702441,12201020028,1697190090497,99765107,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,2,99765131,57.97368621826172,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,YOGURT PET 320 ML,PET,320.000 ML,YOGURT,,320.0,ML,150.0
10,2023-10-16,202310,2,128702441,12201020028,1697190090497,99765107,134,SAPPE PUBLIC COMPANY LIMITED THAILAND,MOGU MOGU,MOGU MOGU YOGURT FLAVORED DRINK PET 320ML,150,320ML,PET,,1697190090497-sappe public company limited thailand-mogu mogu#3.png,RECODING,5,3,99765106,108.77801513671875,118,SAPPE PUBLIC COMPANY LTD-THAILAND,MOGU MOGU,MOGU MOGU,BLACK CURRRANT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,150.0
11,2023-10-16,202310,2,121838548,31101020068,1697189657881,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,250 ML ,CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png,RECODING,5,1,99765100,41.22433090209961,118,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC,CLASSIC CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
11,2023-10-16,202310,2,121838548,31101020068,1697189657881,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,250 ML ,CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png,RECODING,5,6,99765085,107.60083770751953,118,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
11,2023-10-16,202310,2,121838548,31101020068,1697189657881,99765100,134,LIFE FOOD & BEVERAGE-NEPAL,KI BU,KI BU CLASSIC ENRERGY DRINK\250ML\CAN\RS:120\LIFE FOOD&BEVRAGE PVT.LTD NEPAL,120,250 ML ,CAN,,1697189657881-life food - beverage-nepal-ki bu#3.png,RECODING,5,7,99765206,122.37554931640625,118,LIFE FOOD & BEVERAGE-NEPAL,FIZZY LIFE,FIZZY LIFE LAHORI JAL JEERA,JAL JEERA PET 250 ML,PET,250.000 ML,JEERA,,250.0,ML,50.0
12,2023-10-16,202310,2,124306089,21301020031,1696493583267,99765099,134,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT GUAVA,DOOIT GUAVA\200\ML,30,200ML,,New SKU,,RECODING,5,1,99765099,38.13068389892578,118,DUGAR FOOD & BEVERAGE-NEPAL,DOOIT,DOOIT,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0
