MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
SMITHKLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE SOFT 1 NO SAVE 95/=,10000,10000,1 NO,BRUSH
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA/ PLPCH/ 100GM,100,GM,100GM,PLPCH
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA /PLPCH /50GM ,50,GM,50GM,PLPCH
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,10000,10000,80 ML,PLBOT
FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,10000,10000,70 GM,PLPCH
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,10000,10000,80 ML,PLBOT
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,10000,10000,400 GM ,PLPCH
SMITHKLINE BEECHAM PVT LTD,SENSODYNE ,SENSODYNE  SOFT ,10000,10000,1,1
SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI/PURE CEYLON TEA/PLPCH,10000,10000,100 GM,PLPCH
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,30,ML,30ML,GBT 
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/800/GM/PLPCH /REAL COCONUT MILK POWDER ,10000,10000,800 GM,PLPCH 
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE /1/ NO/SOFT /SENSITIVE /SAVE RS.95/=,10000,10000,1 NO,10000
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE/1 NO /SOFT/SENSITIVE /EFFECTIVE AND GENTLY CLEANING ,10000,10000,1 NO,10000
HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION/200 ML/PLBOT,10000,10000,200 ML,PLBOT
ICL BRANDS (PVT) LTD,SECRETS FLORAL ,SECRETS FLORAL DREAMS COLOGNE SPRAY 30 ML CDBOX 30% OFF,10000,10000,30 ML,CDBOX
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH / 70 / GM / CDBOX / PURIFING WELLNESS WITH KOHOMBA, PANCHAVALKADI TAILAM AND MINT ",10000,10000,70 GM,CDBOX 
UNILEVER SRI LANKA LTD,LUX,LUX/ 100 / GM / EWRPK  / SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL  / SAVE 1O,10000,10000,100 GM,EWRPK 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70  / GM / CDBOX  / GLOWING RADIANCE WITH SANDALWOOD, KUNKUMADI  TAILAM AND SAFFRON ",10000,10000,100 GM,CDBOX 
UNILEVER SRI LANKA LTD,LUXMI,LUX / 100 / GM  / EWRPK  /  SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL,10000,10000,100 GM,EWRPK 
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70 / GM / CDBOX  / EXFOLIATING WELLNESS WITH VENIVEL, ALMOND OIL AND COCONUT SHELL POWDER ",10000,10000,70 GM,CDBOX 
FONTERRA BRANDS LANKA (PVT)LTD,RED COW,REDC0OW / 18 / GM / PLPCH  / SUGAR ADDED MILK MIX ,10000,10000,18 GM,PLPCH 
UNILEVER SRI LANKA LTD,LUXSOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,LUX / 100 / GM  / EWRPK  / SOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,10000,10000,100 GM,10000
ASEAN HARDWARE PTE LTD,ALDEGO,ALDEGO/3/GM/SUPER GLUE ,3,GM,3GM,10000
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI-DANDRUFF SHAMPOO ,180,ML,180ML ,PBT
KANDASAMI ENTERPRISES,CLOREX,CLOREX/250/ML/PBT/ORIGINAL WHITE & WHITE ,250,ML,250ML ,PBT
SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO/1000/ML/PBT/HERBAL SHAMPOO ,1000,ML,1000ML ,PBT
SMITHKLINE BEECHAM (PVT)LTD,SENSODYNE,SENSODYNE\1\NO\SENSITIVE SOFT\SAVE RS 95,10000,10000,1,NO
SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,400,ML,400ML,TIN
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/GLOWING/RADIANCE/SANDALWOOD/KUMKUMADI TAILAM/AND/SAFFRON/70 GM/CDBOX,10000,10000,70 GM,CDBOX
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/PURIFYING/WELLNESS/KOHOMBA/ PANCHAVALKADI/TAILAM AND MINT/70 GM/CDBOX,10000,10000,70 GM,CDBOX
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10000,10000,10 NO,PLPCH 
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,10000,10000,10 NO,PLPCH 
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY /TOTAL 10 /WITH PURE OLIVE OIL AND HONEY/ FOR MOISTURISED SOFT SKIN /SOAP/ 200/ GM /(100*2) /+/ SAVE /RS/ 50,10000,10000,200 GM,PLPCH
UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT /WITH REAL LEMON/ EWRPK/ 200/ GM/ (100*2)/ + /SAVE/ RS/ 80,10000,10000,200 GM,EWRPK
NEW NOORI PACKETTING TEA FACTORY,NOORI KAHATA,NEW/ NOORI /PURE CEYLON TEA / 40 /GM/ PLPCH,10000,10000,40 GM,PLPCH
SWADESHI INDUSTRIAL WORKS LTD,SWADESHI KHOMBA,SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,10000,10000,67 GM,EWRPK
