MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,Product Name
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",140,GM,140GM(110G×30G),CDB,"Total Oral Care Cavity Protection, Healthy Gums & Reduces Plaque with Clove Oil & Dasanakanthi Churnam"
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/GM/PLPCH/FULL CREAM ,200,GM,200GM,PLPCH ,FULL CREAM (This is the only identifiable product name in the provided string)
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VOLIN ,VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,80,GM,80GM ,CDB,White Beauty with Natural Moisturizer
JANRICH FOODS LTD,MAYA,MAYA/325/ML/PBT/SOY SAUCE ,325,ML,325ML,PBT,Soy Sauce
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM ,310,GM,310GM,PLPCH ,Strawberry Cream
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR ,60,GM,60GM ,PLPCH ,Cuttlefish Flavor
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS/1/NO/COLA FLAVOURED BUBBLE GUM FILLED LOLLIPOP(14GM),1,NO,1NO,10000,Chupa Chups Cola Flavoured Bubble Gum Filled Lollipop
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM ,PLPCH ,"Papare Blast (Assuming ""Papare"" is the product name as it appears before any other potential codes or abbreviations in the given string.)"
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,350,GM,350GM(70G×5),CDB,ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK / KHOMBA / CLEAR WITH LIME & CUCUMBER HERBAL BAR
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR ,60,GM,60GM ,PLPCH ,CURRY CHICKEN FLAVOUR (assuming it is the product name as given)
