itemcode,itemdesc,catcode,category,company,brand,packaging,flavor,color,qty,uomdesc,pack_size,launchdate,audittype
30001,RED LION GIFT ASSORTMENT 350 GM (ADJ DISTRIBUTORS),6,BISCUITS,ADJ DISTRIBUTORS,RED LION GIFT ASSORTMENT,CDBOX,,,350.0,GM,350.00 GM,201301.0,1
30002,REDLION GIFT ASSORTM 400 GM (ADJ DISTRIBUTORS),6,BISCUITS,ADJ DISTRIBUTORS,RED LION GIFT ASSORTMENT,CDBOX,,,400.0,GM,400.00 GM,200901.0,1
30003,SIGMA GIFT SELECTION 360 GM,6,BISCUITS,ASIA AGRO FOODS (PVT) LTD,SIGMA GIFT SELECTION,CDBOX,,,360.0,GM,360.00 GM,201808.0,1
30004,BISCO FIRST CHOICE CLASSIC 300 GM,6,BISCUITS,BISCO FOODS (PVT) LTD,BISCO FIRST CHOICE CLASSIC,CDBOX,,,300.0,GM,300.00 GM,201705.0,1
30006,KIST GIFT ASSORTMENT 400 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST GIFT ASSORTMENT,CDBOX,,,400.0,GM,400.00 GM,201401.0,1
30007,KIST TEA TIME ASSORTMENT 150 GM,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST TEA TIME ASSORTMENT,CDBOX,,,150.0,GM,150.00 GM,201703.0,1
30009,KIST TEA TIME ASSORTMENT 300 GM CDBOX,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST TEA TIME ASSORTMENT,CDBOX,,,300.0,GM,300.00 GM,201612.0,1
30010,KIST TEA TIME ASSORTMENT 340 GM CDBOX,6,BISCUITS,CARGILLS QUALITY DAIRIES (PVT) LTD,KIST TEA TIME ASSORTMENT,CDBOX,,,340.0,GM,340.00 GM,201412.0,1
30011,MUNCHEE GIFT ASSORTMENT 400 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE GIFT ASSORTMENT,TIN,,,400.0,GM,400.00 GM,,1
30012,MUNCHEE TEA TIME ASSORTMENT 200 GM,6,BISCUITS,CEYLON BISCUITS LIMITED,MUNCHEE TEA TIME ASSORTMENT,CDBOX,,,200.0,GM,200.00 GM,,1
30013,CHERISH GIFT ASSORTMENT 400 GM,6,BISCUITS,CHERISH BISCUIT (PVT) LTD,CHERISH GIFT ASSORTMENT,PLPCH,,,400.0,GM,400.00 GM,200810.0,1
30014,CHERISH TEA TIME 200 GM,6,BISCUITS,CHERISH BISCUIT (PVT) LTD,CHERISH TEA TIME,CDBOX,,,200.0,GM,200.00 GM,,1
30018,DAINTEE GIFT ASSORTMENT 340 GM,6,BISCUITS,DAINTEE LIMITED,DAINTEE GIFT ASSORT,CDBOX,,,340.0,GM,340.00 GM,201509.0,1
30019,DAINTEE TEA TIME ASSORTMENT 160 GM CDBOX,6,BISCUITS,DAINTEE LIMITED,DAINTEE TEA TIME ASSORTMENT,CDBOX,,,160.0,GM,160.00 GM,201205.0,1
30022,DIANA FAMILY TREAT BISCUIT ASSORTMENT 250 GM,6,BISCUITS,DIANA TRADING CO.(PVT) LTD,DIANA FAMILY TREAT,CDBOX,,,250.0,GM,250.00 GM,201603.0,1
30023,DIANA GIFT SELECTION ASSORTMENT BISCUTS 380 GM,6,BISCUITS,DIANA TRADING CO.(PVT) LTD,DIANA GIFT SELECTION,CDBOX,,,380.0,GM,380.00 GM,201412.0,1
30026,DIANA TEA TIME 160 GM,6,BISCUITS,DIANA TRADING CO.(PVT) LTD,DIANA TEA TIME,PLPCH,,,160.0,GM,160.00 GM,201202.0,1
30032,LUCKYLAND GIFT SELECTION ASSORTMENT 300 GM,6,BISCUITS,LUCKYLAND BISCUITS MFS,LUCKYLAND GIFT SELECTION ASSORTMENT,CDBOX,,,300.0,GM,300.00 GM,201508.0,1
