MATCHED,nitemcode,Suggestion,NITEMCODE,Match_Flag
1,9,63964,63964,0
1,9,9,9,0
1,9,9,9,0
0,63972,9,63972,0
0,34284,9,34284,0
2,9,9,63973,1
0,63955,9,63955,0
1,9,63964,63964,0
0,64206,9,64206,0
1,9,64009,64009,0
0,64209,9,64209,0
1,9,9,63964,1
1,9,9,9,0
0,63984,9,63984,0
1,9,9,9,0
1,9,64082,64082,0
0,36624,9,36624,0
1,9,64081,64081,0
1,9,36624,9,0
1,9,64132,64132,0
0,63829,9,63829,0
1,9,9,54000,1
1,9,9,9,0
1,9,64208,64208,0
1,9,9,9,0
1,9,64210,64210,0
1,9,9,63964,1
1,9,64201,64201,0
2,9,9,64081,1
2,9,9,64082,1
1,9,51411,51411,0
1,9,51410,51410,0
1,9,63686,63686,0
1,9,63341,9,0
1,9,64205,64205,0
1,9,63961,63961,0
1,9,64188,64188,0
1,9,63475,63475,0
1,9,64208,64208,0
1,9,64084,64084,0
1,9,64208,9,0
1,9,64208,9,0
1,9,64092,64092,0
1,9,64092,64092,0
0,63993,9,63993,0
1,9,64188,64197,1
1,9,64084,64167,1
1,9,54228,54228,0
1,9,64188,64188,0
1,9,64092,64092,0
1,9,40495,40495,0
1,9,9,9,0
1,9,9,9,0
1,9,52305,52305,0
1,9,9,9,0
1,9,64165,60951,1
1,9,60952,60952,0
1,9,51411,51411,0
0,63953,9,63953,0
1,9,51410,51410,0
1,9,63964,63964,0
1,9,14605,14605,0
1,9,14606,14606,0
2,9,9,63993,1
1,9,60513,9,0
2,9,9,63961,1
1,9,40351,40351,0
1,9,40351,40350,1
1,9,9,9,0
2,9,9,21130,1
1,9,64092,64092,0
0,63955,9,63955,0
0,64057,9,64057,0
0,63972,9,63972,0
1,9,59950,59950,0
1,9,9,9,0
1,9,64200,64200,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,64092,64092,0
1,9,9,47513,1
1,9,63595,63436,1
1,9,48509,48509,0
2,9,9,61843,1
1,9,64092,64092,0
1,9,56462,64093,1
0,63955,9,63955,0
1,9,63968,63968,0
2,9,9,39506,1
1,9,9,9,0
1,9,9,9,0
1,9,63967,63967,0
1,9,64198,64198,0
1,9,64203,64203,0
1,9,64204,64204,0
1,9,63952,9,0
2,9,9,64148,1
2,9,9,63985,1
0,64190,9,64190,0
1,9,64201,64201,0
0,63955,9,63955,0
1,9,64092,64092,0
1,9,52305,52305,0
1,9,64092,64093,1
1,9,58791,58791,0
0,62852,9,62852,0
1,9,9,9,0
1,9,64208,9,0
1,9,51410,51410,0
1,9,64208,9,0
1,9,64188,64188,0
1,9,64082,64082,0
1,9,64132,64132,0
1,9,64208,9,0
1,9,64084,64167,1
1,9,64081,64081,0
0,63993,9,63993,0
2,9,9,64189,1
0,63992,9,63992,0
2,9,9,9,0
2,9,9,64059,1
1,9,64092,64092,0
1,9,9,51411,1
1,9,9,64092,1
1,9,63993,63993,0
2,9,9,63960,1
1,9,64193,64193,0
0,64195,9,64195,0
1,9,64196,64196,0
1,9,64201,64202,1
0,64194,9,64194,0
1,9,64201,64201,0
1,9,64193,64192,1
2,9,9,63961,1
1,9,9,9,0
1,9,14634,14634,0
0,63993,9,63993,0
2,9,9,63993,1
1,9,9,9,0
1,9,9,9,0
2,9,9,64187,1
1,9,9,9,0
2,9,9,64191,1
1,9,64185,64185,0
1,9,64186,64186,0
1,9,51410,51410,0
1,9,9,9,0
1,9,9,9,0
2,9,9,9,0
0,63993,9,63993,0
2,9,9,64058,1
1,9,9,9,0
2,9,9,63993,1
0,63955,9,63955,0
1,9,63820,63820,0
1,9,9,9,0
1,9,64081,64081,0
1,9,9,9,0
1,9,64092,64092,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,63953,63953,0
2,9,9,63797,1
1,9,63993,63993,0
0,62852,9,62852,0
1,9,9,63961,1
1,9,64181,64181,0
1,9,50779,52728,1
1,9,9,9,0
1,9,64081,64081,0
1,9,64082,64082,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,56462,31208,1
0,63955,9,63955,0
2,9,9,63983,1
0,37076,9,37076,0
2,9,9,36153,1
1,9,64092,64092,0
1,9,36152,36152,0
1,9,9,64082,1
1,9,9,64081,1
1,9,64182,64181,1
1,9,9,9,0
1,9,9,64183,1
1,9,63961,63961,0
1,9,64092,64092,0
1,9,9,9,0
2,9,9,63943,1
2,9,9,9,0
2,9,9,64082,1
2,9,9,64081,1
2,9,9,64179,1
1,9,63964,63964,0
1,9,64208,9,0
1,9,9,9,0
0,63955,9,63955,0
2,9,9,63943,1
0,63993,9,63993,0
1,9,9,9,0
1,9,9,51411,1
2,9,9,64172,1
0,64173,9,64173,0
2,9,9,63993,1
0,53569,9,53569,0
1,9,64092,64092,0
1,9,9,9,0
2,9,9,64166,1
1,9,64168,64168,0
0,64170,9,64170,0
1,9,64165,64165,0
1,9,64053,9,0
2,9,9,64089,1
0,64171,9,64171,0
1,9,9,9,0
2,9,9,63759,1
1,9,9,9,0
2,9,9,63993,1
1,9,9,9,0
1,9,64053,9,0
1,9,9,64177,1
1,9,9,9,0
0,63953,9,63953,0
2,9,9,63959,1
2,9,9,54278,1
1,9,64092,64092,0
0,63993,9,63993,0
1,9,64082,64082,0
1,9,9,59504,1
1,9,64180,64180,0
1,9,9,47413,1
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
1,9,9,9,0
2,9,9,64160,1
1,9,64132,64132,0
1,9,64081,64081,0
1,9,64084,64167,1
1,9,64164,64164,0
1,9,64089,64090,1
1,9,64012,64012,0
1,9,53569,53569,0
1,9,63964,63964,0
1,9,53942,48507,1
0,64081,9,64081,0
