MATCHED,nitemcode,Suggestion
1,9,63964
1,9,9
1,9,9
0,63972,9
0,34284,9
2,9,63973
0,63955,9
1,9,63964
0,64206,9
1,9,64009
0,64209,9
1,9,9
1,9,9
0,63984,9
1,9,9
1,9,64082
0,36624,9
1,9,64081
1,9,36624
1,9,64132
0,63829,9
1,9,9
1,9,9
1,9,64208
1,9,9
1,9,64210
1,9,9
1,9,64201
2,9,64081
2,9,64082
1,9,51411
1,9,51410
1,9,63686
1,9,63341
1,9,64205
1,9,63961
1,9,64188
1,9,63475
1,9,64208
1,9,64084
1,9,64208
1,9,64208
1,9,64092
1,9,64092
0,63993,9
1,9,64188
1,9,64084
1,9,54228
1,9,64188
1,9,64092
1,9,40495
1,9,9
1,9,9
1,9,52305
1,9,9
1,9,64165
1,9,60952
1,9,51411
0,63953,9
1,9,51410
1,9,63964
1,9,14605
1,9,14606
2,9,63993
1,9,60513
2,9,63961
1,9,40351
1,9,40351
1,9,9
2,9,21130
1,9,64092
0,63955,9
0,64057,9
0,63972,9
1,9,59950
1,9,9
1,9,64200
1,9,9
1,9,9
1,9,9
1,9,64092
1,9,9
1,9,63595
1,9,48509
2,9,61843
1,9,64092
1,9,56462
0,63955,9
1,9,63968
2,9,39506
1,9,9
1,9,9
1,9,63967
1,9,64198
1,9,64203
1,9,64204
1,9,63952
2,9,64148
2,9,63985
0,64190,9
