MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,RESULT,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
SMITHKLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE SOFT 1 NO SAVE 95/=,1,NO,1 NO,BRUSH,1,2,,,,,,,,,MANUFACTURE,,63964
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA/ PLPCH/ 100GM,100,GM,100GM,PLPCH,1,2,,,,,,,,,MANUFACTURE,,
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA /PLPCH /50GM ,50,GM,50GM,PLPCH,1,2,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,80,ML,80 ML,PLBOT,0,2,63972,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80,ML,80.00 ML,PLBOT,,"1. SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO
   2. LIFEBUY GLOWING SKIN SAKURA AND PINK CLAY SOAP",
FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,70,GM,70 GM,PLPCH,0,2,34284,FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM,70,GM,70.00 GM,PLPCH,,Freelan Maldivian Fish Flavor,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,80,ML,80 ML,PLBOT,2,2,,,,,,,,,ITEMDESC,"1. SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO
   2. LIFEBUOY MILD CARE SOAP",63973
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,400,GM,400 GM ,PLPCH,0,2,63955,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
SMITHKLINE BEECHAM PVT LTD,SENSODYNE ,SENSODYNE  SOFT ,1,,1,1,1,2,,,,,,,,,MANUFACTURE,,63964
SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI/PURE CEYLON TEA/PLPCH,100,GM,100 GM,PLPCH,0,2,64206,SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI PURE CEYLON TEA 100 GM PLPCH,100,GM,100.00 GM,PLPCH,,SUGANDHI PURE CEYLON TEA,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,30,ML,30ML,GBT ,1,2,,,,,,,,,PACKTYPE,,64009
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/800/GM/PLPCH /REAL COCONUT MILK POWDER ,800,GM,800 GM,PLPCH ,0,1,64209,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 800 GM PLPCH,800,GM,800.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE /1/ NO/SOFT /SENSITIVE /SAVE RS.95/=,1,NO,1 NO,,1,1,,,,,,,,,MANUFACTURE,,
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE/1 NO /SOFT/SENSITIVE /EFFECTIVE AND GENTLY CLEANING ,1,NO,1 NO,,1,2,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION/200 ML/PLBOT,200,ML,200 ML,PLBOT,0,2,63984,HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION 200 ML PLBOT,200,ML,200.00 ML,PLBOT,,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION,
ICL BRANDS (PVT) LTD,SECRETS FLORAL ,SECRETS FLORAL DREAMS COLOGNE SPRAY 30 ML CDBOX 30% OFF,30,ML,30 ML,CDBOX,1,2,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH / 70 / GM / CDBOX / PURIFING WELLNESS WITH KOHOMBA, PANCHAVALKADI TAILAM AND MINT ",70,GM,70 GM,CDBOX ,1,2,,,,,,,,,BRAND,,64082
UNILEVER SRI LANKA LTD,LUX,LUX/ 100 / GM / EWRPK  / SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL  / SAVE 1O,100,GM,100 GM,EWRPK ,0,2,36624,UNILEVER SRI LANKA LTD,LUX,LUX SANDAL & CREAM SANDALWOOD & AROMATIC FLOWERS 100 GM,100,GM,100.00 GM,EWRPK,,Lux Sandal & Cream Sandalwood & Aromatic Flowers,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70  / GM / CDBOX  / GLOWING RADIANCE WITH SANDALWOOD, KUNKUMADI  TAILAM AND SAFFRON ",100,GM,100 GM,CDBOX ,1,2,,,,,,,,,BRAND,,64081
UNILEVER SRI LANKA LTD,LUXMI,LUX / 100 / GM  / EWRPK  /  SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL,100,GM,100 GM,EWRPK ,1,2,,,,,,,,,BRAND,,36624
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70 / GM / CDBOX  / EXFOLIATING WELLNESS WITH VENIVEL, ALMOND OIL AND COCONUT SHELL POWDER ",70,GM,70 GM,CDBOX ,1,2,,,,,,,,,BRAND,,64132
FONTERRA BRANDS LANKA (PVT)LTD,RED COW,REDC0OW / 18 / GM / PLPCH  / SUGAR ADDED MILK MIX ,18,GM,18 GM,PLPCH ,0,2,63829,FONTERRA BRANDS LANKA (PVT)LTD,RED COW,RED COW - SUGAR ADDED MILK MIX 18 GM PLPCH,18,GM,18.00 GM,PLPCH,,RED COW - SUGAR ADDED MILK MIX,
UNILEVER SRI LANKA LTD,LUXSOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,LUX / 100 / GM  / EWRPK  / SOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,100,GM,100 GM,,1,0,,,,,,,,,BRAND,,
ASEAN HARDWARE PTE LTD,ALDEGO,ALDEGO/3/GM/SUPER GLUE ,3,GM,3GM,,1,2,,,,,,,,,MANUFACTURE,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI-DANDRUFF SHAMPOO ,180,ML,180ML ,PBT,1,2,,,,,,,,,PACKTYPE,,64208
KANDASAMI ENTERPRISES,CLOREX,CLOREX/250/ML/PBT/ORIGINAL WHITE & WHITE ,250,ML,250ML ,PBT,1,2,,,,,,,,,MANUFACTURE,,
SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO/1000/ML/PBT/HERBAL SHAMPOO ,1000,ML,1000ML ,PBT,1,2,,,,,,,,,PACKTYPE,,64210
SMITHKLINE BEECHAM (PVT)LTD,SENSODYNE,SENSODYNE\1\NO\SENSITIVE SOFT\SAVE RS 95,1,,1,NO,1,0,,,,,,,,,MANUFACTURE,,
