MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
SMITHKLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE SOFT 1 NO SAVE 95/=,1.0,NO,1 NO,BRUSH,1,,,,,,,,,MANUFACTURE,,63964
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA/ PLPCH/ 100GM,100.0,GM,100GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
IDEA AFFIX MARKETING ,IDEA TEA,IDEA TEA /PLPCH /50GM ,50.0,GM,50GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,80.0,ML,80 ML,PLBOT,0,63972.0,UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO 5 NATURAL OILS EGG PROTEIN & VITAMIN C ACTIVE MIX 80 ML PLBOT + FREE LIFEBUOY GLOWING SKIN SAKURA AND PINK CLAY SOAP 75 GM EWRPK,80.0,ML,80.00 ML,PLBOT,,"1. SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO
   2. LIFEBUY GLOWING SKIN SAKURA AND PINK CLAY SOAP",
FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,70.0,GM,70 GM,PLPCH,0,34284.0,FREELAN ENTERPRISES,FREELAN,FREELAN MALDIVE FISH FLAVOUR 70 GM,70.0,GM,70.00 GM,PLPCH,,Freelan Maldivian Fish Flavor,
UNILEVER SRI LANKA LTD,SUNSILK,SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,80.0,ML,80 ML,PLBOT,2,,,,,,,,,ITEMDESC,"1. SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO
   2. LIFEBUOY MILD CARE SOAP",
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,400.0,GM,400 GM ,PLPCH,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
SMITHKLINE BEECHAM PVT LTD,SENSODYNE ,SENSODYNE  SOFT ,1.0,,1,1,1,,,,,,,,,MANUFACTURE,,63964
SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI/PURE CEYLON TEA/PLPCH,100.0,GM,100 GM,PLPCH,0,64206.0,SUGANDHI DISTRIBUTORS,SUGANDHI,SUGANDHI PURE CEYLON TEA 100 GM PLPCH,100.0,GM,100.00 GM,PLPCH,,SUGANDHI PURE CEYLON TEA,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,30.0,ML,30ML,GBT ,1,,,,,,,,,PACKTYPE,,64009
NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI/800/GM/PLPCH /REAL COCONUT MILK POWDER ,800.0,GM,800 GM,PLPCH ,0,64209.0,NESTLE LANKA,MAGGI COCONUT MILK POWDER,MAGGI REAL COCONUT MILK POWDER 800 GM PLPCH,800.0,GM,800.00 GM,PLPCH,,Maggi Real Coconut Milk Powder,
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE /1/ NO/SOFT /SENSITIVE /SAVE RS.95/=,1.0,NO,1 NO,,1,,,,,,,,,MANUFACTURE,,
SMITHKLINE BEECHAM(PVT)LTD,SENSODYNE ,SENSODYNE/1 NO /SOFT/SENSITIVE /EFFECTIVE AND GENTLY CLEANING ,1.0,NO,1 NO,,1,,,,,,,,,MANUFACTURE,,
HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION/200 ML/PLBOT,200.0,ML,200 ML,PLBOT,0,63984.0,HEMAS MARKETING,VELVET,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION 200 ML PLBOT,200.0,ML,200.00 ML,PLBOT,,VELVET GLOW PERFECT SHEA BUTTER & SAFFRON EXTRACT BODY LOTION,
ICL BRANDS (PVT) LTD,SECRETS FLORAL ,SECRETS FLORAL DREAMS COLOGNE SPRAY 30 ML CDBOX 30% OFF,30.0,ML,30 ML,CDBOX,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH / 70 / GM / CDBOX / PURIFING WELLNESS WITH KOHOMBA, PANCHAVALKADI TAILAM AND MINT ",70.0,GM,70 GM,CDBOX ,1,,,,,,,,,BRAND,,64082
UNILEVER SRI LANKA LTD,LUX,LUX/ 100 / GM / EWRPK  / SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL  / SAVE 1O,100.0,GM,100 GM,EWRPK ,0,36624.0,UNILEVER SRI LANKA LTD,LUX,LUX SANDAL & CREAM SANDALWOOD & AROMATIC FLOWERS 100 GM,100.0,GM,100.00 GM,EWRPK,,LUX Sandal & Cream Sandalwood & Aromatic Flowers,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70  / GM / CDBOX  / GLOWING RADIANCE WITH SANDALWOOD, KUNKUMADI  TAILAM AND SAFFRON ",100.0,GM,100 GM,CDBOX ,1,,,,,,,,,BRAND,,64081
UNILEVER SRI LANKA LTD,LUXMI,LUX / 100 / GM  / EWRPK  /  SANDAL & CREAM  SANDALWOOD  & AROMATIC FLOWERS OIL,100.0,GM,100 GM,EWRPK ,1,,,,,,,,,BRAND,,36624
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/ 70 / GM / CDBOX  / EXFOLIATING WELLNESS WITH VENIVEL, ALMOND OIL AND COCONUT SHELL POWDER ",70.0,GM,70 GM,CDBOX ,1,,,,,,,,,BRAND,,64132
FONTERRA BRANDS LANKA (PVT)LTD,RED COW,REDC0OW / 18 / GM / PLPCH  / SUGAR ADDED MILK MIX ,18.0,GM,18 GM,PLPCH ,0,63829.0,FONTERRA BRANDS LANKA (PVT)LTD,RED COW,RED COW - SUGAR ADDED MILK MIX 18 GM PLPCH,18.0,GM,18.00 GM,PLPCH,,RED COW - SUGAR ADDED MILK MIX,
UNILEVER SRI LANKA LTD,LUXSOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,LUX / 100 / GM  / EWRPK  / SOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,100.0,GM,100 GM,,1,,,,,,,,,BRAND,,
ASEAN HARDWARE PTE LTD,ALDEGO,ALDEGO/3/GM/SUPER GLUE ,3.0,GM,3GM,,1,,,,,,,,,MANUFACTURE,,
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI-DANDRUFF SHAMPOO ,180.0,ML,180ML ,PBT,1,,,,,,,,,PACKTYPE,,64208
KANDASAMI ENTERPRISES,CLOREX,CLOREX/250/ML/PBT/ORIGINAL WHITE & WHITE ,250.0,ML,250ML ,PBT,1,,,,,,,,,MANUFACTURE,,
SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO/1000/ML/PBT/HERBAL SHAMPOO ,1000.0,ML,1000ML ,PBT,1,,,,,,,,,PACKTYPE,,64210
SMITHKLINE BEECHAM (PVT)LTD,SENSODYNE,SENSODYNE\1\NO\SENSITIVE SOFT\SAVE RS 95,1.0,,1,NO,1,,,,,,,,,MANUFACTURE,,
SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,400.0,ML,400ML,TIN,1,,,,,,,,,BRAND,,64201
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/GLOWING/RADIANCE/SANDALWOOD/KUMKUMADI TAILAM/AND/SAFFRON/70 GM/CDBOX,70.0,GM,70 GM,CDBOX,2,,,,,,,,,ITEMDESC,Kumkumadi Tailam,
UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/PURIFYING/WELLNESS/KOHOMBA/ PANCHAVALKADI/TAILAM AND MINT/70 GM/CDBOX,70.0,GM,70 GM,CDBOX,2,,,,,,,,,ITEMDESC,Kohomba Panchavalakadi Tailam and Mint,
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,10.0,NO,10 NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51411
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,10.0,NO,10 NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51410
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY /TOTAL 10 /WITH PURE OLIVE OIL AND HONEY/ FOR MOISTURISED SOFT SKIN /SOAP/ 200/ GM /(100*2) /+/ SAVE /RS/ 50,200.0,GM,200 GM,PLPCH,1,,,,,,,,,PACKTYPE,,63686
UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT /WITH REAL LEMON/ EWRPK/ 200/ GM/ (100*2)/ + /SAVE/ RS/ 80,200.0,GM,200 GM,EWRPK,1,,,,,,,,,PACKSIZE,,63341
NEW NOORI PACKETTING TEA FACTORY,NOORI KAHATA,NEW/ NOORI /PURE CEYLON TEA / 40 /GM/ PLPCH,40.0,GM,40 GM,PLPCH,1,,,,,,,,,BRAND,,64205
SWADESHI INDUSTRIAL WORKS LTD,SWADESHI KHOMBA,SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,67.0,GM,67 GM,EWRPK,1,,,,,,,,,BRAND,,63961
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/15G/CD BOX/NATURAL GLOW & PROTECT FACE CREAM,15.0,GM,15G,CD BOX,1,,,,,,,,,BRAND,,64188
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA BABY,KHOMBA BABY/100/ML/PBT/FLORAL KOHOMBA & ROSE WATER,100.0,ML,100ML,PBT,1,,,,,,,,,PACKSIZE,,63475
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI DANDRUFF SHAMPOO ,180.0,ML,180ML,PBT,1,,,,,,,,,PACKTYPE,,64208
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/25G/CD BOX/ANTI MARK & OIL CONTROL FACE CREAM,25.0,GM,25G,CD BOX,1,,,,,,,,,BRAND,,64084
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/G/CD BOX/VRNIVEL,75.0,GM,75G,CD BOX,1,,,,,,,,,PACKSIZE,,64208
