filename,matches,match_percentage,accuracy,accuracy_percentage
final_matches_mar-24.csv,10/31,32.26%,8/10,80.00%
final_matches_may-22.csv,37/200,18.50%,28/37,75.68%
final_matches_mar-22.csv,73/301,24.25%,54/73,73.97%
final_matches_jun-23.csv,15/40,37.50%,0/15,0.00%
final_matches_nov-22.csv,1/123,0.81%,0/1,0.00%
final_matches_aug-24.csv,5/22,22.73%,4/5,80.00%
final_matches_nov-24.csv,8/32,25.00%,8/8,100.00%
final_matches_jan-24.csv,1/12,8.33%,1/1,100.00%
final_matches_mar-23.csv,7/48,14.58%,3/7,42.86%
final_matches_jul-24.csv,9/22,40.91%,7/9,77.78%
final_matches_apr-23.csv,9/60,15.00%,9/9,100.00%
final_matches_jan-23.csv,29/121,23.97%,22/29,75.86%
final_matches_feb-24.csv,6/24,25.00%,5/6,83.33%
final_matches_aug-23.csv,7/16,43.75%,6/7,85.71%
final_matches_nov-23.csv,1/4,25.00%,1/1,100.00%
final_matches_jul-23.csv,1/12,8.33%,1/1,100.00%
final_matches_jan-22.csv,32/175,18.29%,19/32,59.38%
final_matches_feb-22.csv,72/311,23.15%,49/72,68.06%
final_matches_aug-22.csv,37/148,25.00%,33/37,89.19%
final_matches_dec-24.csv,6/15,40.00%,6/6,100.00%
final_matches_jul-22.csv,26/96,27.08%,16/26,61.54%
final_matches_oct-22.csv,39/176,22.16%,32/39,82.05%
final_matches_jun-24.csv,8/35,22.86%,7/8,87.50%
final_matches_transaction.csv,0/3412,0.00%,0/0,0.00%
final_matches_feb-23.csv,31/114,27.19%,24/31,77.42%
final_matches_oct-23.csv,4/15,26.67%,4/4,100.00%
final_matches_sep-22.csv,24/115,20.87%,20/24,83.33%
final_matches_may-23.csv,20/67,29.85%,16/20,80.00%
final_matches_sep-24.csv,9/23,39.13%,9/9,100.00%
final_matches_apr-24.csv,10/44,22.73%,9/10,90.00%
final_matches_dec-23.csv,8/20,40.00%,6/8,75.00%
final_matches_jun-22.csv,33/145,22.76%,22/33,66.67%
final_matches_sep-23.csv,1/5,20.00%,1/1,100.00%
final_matches_may-24.csv,16/53,30.19%,16/16,100.00%
final_matches_apr-22.csv,40/234,17.09%,31/40,77.50%
final_matches_dec-22.csv,64/550,11.64%,53/64,82.81%
final_matches_oct-24.csv,4/5,80.00%,4/4,100.00%
