t_NEW_CODES,matched_itemcode,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
99765296,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,LEMON PET 350 ML,PET,350.000 ML,LEMON,,350.0,ML,32.0
99765296,20121458,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,NIMBOOZ,NIMBOOZ,LEMON PET 350 ML,PET,350.000 ML,LEMON,,350.0,ML,0.0
99765296,20127603,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,MASALA SODA PET 350 ML,PET,350.000 ML,SODA,,350.0,ML,0.0
99764023,99764023,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESHTA,FRESHTA,ORANGE PET 1500 ML,PET,1500.000 ML,ORANGE,,1500.0,ML,175.0
99764023,99762399,118,NEPAL M.D FOOD & BEVERAGE-NEPAL,FANTUZ,FANTUZ,ORANGE PET 1500 ML,PET,1500.000 ML,ORANGE,,1500.0,ML,150.0
99764023,52564,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESH,FRESH,ORANGE PET 1500 ML,PET,1500.000 ML,ORANGE,,1500.0,ML,0.0
99765303,99765303,125,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA SUPER POWER,9G KHAINI,PLAST,9G,REGULAR,,9.0,GM,20.0
99765303,99765137,125,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA SUPER POWER,7G KHAINI,PLAST,7G,REGULAR,,7.0,GM,20.0
99765303,99762296,125,RADHA KRISHNA PRODUCTS,PADUKA,PADUKA,7G KHAINI,PLAST,7G,REGULAR,,7.0,,0.0
99765298,99765298,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RELIEF,RELIEF NIMBU PANI,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
99765298,99765488,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH ZPRITE,PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
99765298,99765475,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH COLA,PET 250 ML,PET,250.000 ML,COLA,,250.0,ML,50.0
99765300,99765300,118,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDEN SPARK,PET 250 ML,PET,250.000 ML,,,250.0,ML,60.0
99765300,99765427,118,DABUR NEPAL LTD.-NEPAL,BURRST,BURRST NEEMBU FIZZ,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,50.0
99765299,99765379,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,MIXED FRUIT PET 250 ML,PET,250.000 ML,MIXED FRUIT,,250.0,ML,50.0
99765299,99765380,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,PINEAPPLE PET 250 ML,PET,250.000 ML,PINEAPPLE,,250.0,ML,50.0
99765299,99765299,118,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT,RAYBOT REFRESH,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,50.0
99765297,99765297,118,RUPSHAN PRASODHIT KHANEPANI-NEPAL,AQUA PURE-LIFE,AQUA PURE-LIFE,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
99765297,99765342,118,NICE JAL UDHYOG-NEPAL,RFS AQUA,RFS AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
99765297,40123908,118,BIRATNEER JAL UDHYOG-NEPAL,PARIS AQUA,PARIS AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
99765302,99765044,118,NEPAL SOFT DRINKS UDHYOG-NEPAL,SWAAD,SWAAD LITCHI DRINK,LITCHI PET 125 ML+25 ML FREE,PET,125.000 ML,LYCHEE,,150.0,ML,20.0
99765302,54828,118,SAMBHAVI BEVERAGE-NEPAL,P.R.S,P.R.S,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,0.0
99765301,99765301,118,KWALITY THAI FOODS PVT LTD-NPL,TOTAL,TOTAL FRUITY N JUICY,PINEAPPLE TPK 200 ML,TPK,200.000 ML,PINEAPPLE,,200.0,ML,30.0
99765301,99765203,118,KWALITY THAI FOODS PVT LTD-NPL,TOTAL,TOTAL FRUITY N JUICY,MIXED FRUIT TPK 200 ML,TPK,200.000 ML,MIXED FRUIT,,200.0,ML,30.0
99765301,99765439,118,KWALITY THAI FOODS PVT LTD-NPL,TOTAL,TOTAL FRUITY N JUICY,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,30.0
99765297,99765385,118,RESUNGA JAL PVT LTD-NEPAL,RESUNGA AQUA,RESUNGA AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
99765305,99765305,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,BLUEBERRY PET 250 ML,PET,250.000 ML,BLUEBERRY,,250.0,ML,100.0
99765305,99765313,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,100.0
99765305,99763940,118,SAMBHAVI BEVERAGE-NEPAL,CAMPA,CAMPA ORANGE,PET 250 ML,PET,250.000 ML,ORANGE,,250.0,ML,40.0
99765304,99765304,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,ORANGE PET 300 ML,PET,300.000 ML,ORANGE,,300.0,ML,120.0
99765304,99765248,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,STRAWBERRY PET 300 ML,PET,300.000 ML,STRAWBERRY,,300.0,ML,120.0
99765304,99765192,118,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY,MANGO DRINK PET 300 ML,PET,300.000 ML,MANGO,,300.0,ML,120.0
99765306,99765306,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,POMEGRANATE PET 320 ML,PET,320.000 ML,POMEGRANATE,,320.0,ML,99.0
99765306,99765317,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,FRUIT COCKTAIL PET 320 ML,PET,320.000 ML,MIXED FRUIT,,320.0,ML,99.0
99765306,99765295,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,PINEAPPLE PET 320 ML,PET,320.000 ML,PINEAPPLE,,320.0,ML,99.0
99765307,99765307,118,JAGDAMBA FOODS PVT LTD-NEPAL,ROBO BULL,ROBO BULL,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
99765307,99765126,118,SARAS BEVERAGES PVT LTD-NEPAL,RED BULL,RED BULL,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,110.0
99765307,99765085,118,LIFE FOOD & BEVERAGE-NEPAL,REBOOST,REBOOST,CAN 250 ML,CAN,250.000 ML,,,250.0,ML,120.0
99765308,99765308,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,LITCHI PET 320 ML,PET,320.000 ML,LYCHEE,,320.0,ML,99.0
99765308,99765317,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,FRUIT COCKTAIL PET 320 ML,PET,320.000 ML,MIXED FRUIT,,320.0,ML,99.0
99765308,99765306,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,POMEGRANATE PET 320 ML,PET,320.000 ML,POMEGRANATE,,320.0,ML,99.0
99765309,99765309,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,BLACK CURRENT PET 320 ML,PET,320.000 ML,BLACK CURRANT,,320.0,ML,99.0
99765309,99765317,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,FRUIT COCKTAIL PET 320 ML,PET,320.000 ML,MIXED FRUIT,,320.0,ML,99.0
99765309,99765306,118,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY,POMEGRANATE PET 320 ML,PET,320.000 ML,POMEGRANATE,,320.0,ML,99.0
99765310,99765310,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,100.0
99765310,99765312,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,PINEAPPLE PET 250 ML,PET,250.000 ML,PINEAPPLE,,250.0,ML,100.0
99765310,99765311,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,STRAWBERRY PET 250 ML,PET,250.000 ML,STRAWBERRY,,250.0,ML,100.0
99765311,99765311,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,STRAWBERRY PET 250 ML,PET,250.000 ML,STRAWBERRY,,250.0,ML,100.0
99765311,99765312,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,PINEAPPLE PET 250 ML,PET,250.000 ML,PINEAPPLE,,250.0,ML,100.0
99765311,99765310,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,100.0
99765312,99765312,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,PINEAPPLE PET 250 ML,PET,250.000 ML,PINEAPPLE,,250.0,ML,100.0
99765312,99765310,118,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,100.0
