t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE
99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT
99764023,118,MANAKAMANA FRUIT & BEVERAGE-NP,FRESTA ,FRESTA ORANGE\1500ML\PET\RS:190\MANAKAMANA FRUIT &BEVRAGE PVT.LTD NEPAL,190,1500,PET
99765303,125,RADHA KRISHNA PRODUCTS,PADUKA SUPER POWER,PADUKA SUPER POWER-PADUKA-REGULAR-PLAST-9GM,20,PPH,9GM
99765298,118,RAYBOT SPRINGS MINERAL WATER PVT.LTD NEPAL,RELIEF,RELIEF NIMBU PANI\250ML\PET\RS:50\RAYBOT SPRINGS MINERAL WATER PVT.LTD NEPAL,50,250ML,PET
99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE ,DYNAMITE ENERGY DRINK ,60,250 ML.,PET
99765300,134,DABUR NEPAL LTD.-NEPAL,DYNAMITE,DYNAMITE GOLDE SPARK PBT 250 ML ,60,250 ML,PBT
99765299,134,RAYBOT SPRINGS MINERAL WATER PVT.LTD,RAYBOT REFRESH,RAYBOT REFRESH FRUIT DRINK/PBT/250ML/RS 50,50,250ML,PBT
99765297,134,RUPSHAN PRASODHIT KHANEPANI UDHYOG NEPAL,AQUA PURE LIFE,AQUA PURE LIFE PET.-1000ML.,20,1000ML.,PET
99765302,134,PRAGATI CHEMICAL-INDIA,MZP'S LITCHI,MZP'S LITCHI\150ML+20ML FREE\PBT\LITCHI FLAVOUR ,20,150ML+20ML FREE,PBT
99765301,134,KWALITY THAI FOODS PVT LTD-NPL,TOTAL FRUITY N JUICY,TOTAL FRUITY N JUICY- PINEAPPLE TPK 200ML,30,200ML,TPK
99765305,134,SAMBHAVI FOOD AND BEVERAGES PVT.LTD-NEPAL,JIMMY JIMMY,JIMMY JIMMY BLUEBERRY DRINK PET 250ML,100,250ML,PET
99765304,134,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY,JIMMY JIMMY/300ML/PBT/ORANGE ,130,300ML,PBT
99765306,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY POMEGRANATE PBT 320 ML,99,320ML,PBT
99765307,134,JAGDAMBA FOODS PVT LTD-NEPAL,ROBO BULL,ROBO BULL ENERGY DRINK CAN 250ML ,120,250 ML,CAN
99765308,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-LITCHI PBT 320ML ,99,320ML,PBT
99765309,134,AGRO THAI FOODS PVT LTD-NEPAL,JUICE JELLY,JUICE JELLY-BLACKCURRANT,99,320ML,PBT
99765310,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-MANGO PBT 250ML,100,250ML,PBT
99765311,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-STRAWBERRY PBT 250ML,100,250ML,PBT
99765312,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-PINEAPPLE PBT 250ML,100,250ML,PBT
99765313,134,SAMBHAVI FOOD AND BEVERAGES PVT.LTD-NEPAL,JIMMY JIMMY,JIMMY JIMMY MANGO DRINK PET 250ML,100,250ML,PET
99765315,134,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY ,JIMMY JIMMY/300ML/PBT/KIWI,120,300ML,PBT
99765316,134,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER/1000ML/PBT/POMEGRANATE/FREE REAL 180ML WORTH RS 30,290,1000ML ,PBT
99765314,134,SHAMBHAVI FOOD & BEVERAGES-NEPAL,JIMMY JIMMY ,JIMMY JIMMY/300ML/PBT/LITCHI ,120,300ML,PBT
