filename,timestamp,Top1,Top1+Top2,Top1+Top2+Top3,Precision (Top-3),Recall (Top-3),Specificity (Top-3),Type I Error,Type II Error
final_matches_apr-22.csv,2025-09-12 11:37:45,0.6575,0.726,0.7763,0.2588,0.7763,0.0,1.0,0.2237
final_matches_apr-23.csv,2025-09-12 11:37:45,0.9474,0.9825,0.9825,0.3275,0.9825,0.0,1.0,0.0175
final_matches_apr-24.csv,2025-09-12 11:37:45,0.881,0.881,0.9048,0.3016,0.9048,0.0,1.0,0.0952
final_matches_aug-22.csv,2025-09-12 11:37:45,0.7626,0.8058,0.8273,0.2758,0.8273,0.0,1.0,0.1727
final_matches_aug-23.csv,2025-09-12 11:37:45,0.8667,0.8667,0.9333,0.3111,0.9333,0.0,1.0,0.0667
final_matches_aug-24.csv,2025-09-12 11:37:45,0.8095,0.9048,0.9048,0.3016,0.9048,0.0,1.0,0.0952
final_matches_dec-22.csv,2025-09-12 11:37:45,0.7011,0.8088,0.8637,0.2879,0.8637,0.0,1.0,0.1363
final_matches_dec-23.csv,2025-09-12 11:37:45,0.9444,1.0,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_dec-24.csv,2025-09-12 11:37:45,1.0,1.0,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_feb-22.csv,2025-09-12 11:37:45,0.6914,0.803,0.8253,0.2751,0.8253,0.0,1.0,0.1747
final_matches_feb-23.csv,2025-09-12 11:37:45,0.6972,0.8073,0.8257,0.2752,0.8257,0.0,1.0,0.1743
final_matches_feb-24.csv,2025-09-12 11:37:45,0.875,1.0,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_jan-22.csv,2025-09-12 11:37:45,0.6642,0.7591,0.7956,0.2652,0.7956,0.0,1.0,0.2044
final_matches_jan-23.csv,2025-09-12 11:37:45,0.8087,0.9043,0.9304,0.3101,0.9304,0.0,1.0,0.0696
final_matches_jan-24.csv,2025-09-12 11:37:45,0.8182,0.9091,0.9091,0.303,0.9091,0.0,1.0,0.0909
final_matches_jul-22.csv,2025-09-12 11:37:45,0.7045,0.7841,0.8182,0.2727,0.8182,0.0,1.0,0.1818
final_matches_jul-23.csv,2025-09-12 11:37:45,0.7,0.8,0.8,0.2667,0.8,0.0,1.0,0.2
final_matches_jul-24.csv,2025-09-12 11:37:45,0.7143,0.8571,0.8571,0.2857,0.8571,0.0,1.0,0.1429
final_matches_jun-22.csv,2025-09-12 11:37:45,0.7388,0.8134,0.8582,0.2861,0.8582,0.0,1.0,0.1418
final_matches_jun-23.csv,2025-09-12 11:37:45,0.8421,0.8947,0.8947,0.2982,0.8947,0.0,1.0,0.1053
final_matches_jun-24.csv,2025-09-12 11:37:45,0.8824,0.9118,0.9118,0.3039,0.9118,0.0,1.0,0.0882
final_matches_mar-22.csv,2025-09-12 11:37:46,0.6617,0.7398,0.7881,0.2627,0.7881,0.0,1.0,0.2119
final_matches_mar-23.csv,2025-09-12 11:37:46,0.8478,0.8913,0.9348,0.3116,0.9348,0.0,1.0,0.0652
final_matches_mar-24.csv,2025-09-12 11:37:46,0.7,0.7333,0.7333,0.2444,0.7333,0.0,1.0,0.2667
final_matches_may-22.csv,2025-09-12 11:37:46,0.7377,0.8142,0.8525,0.2842,0.8525,0.0,1.0,0.1475
final_matches_may-23.csv,2025-09-12 11:37:46,0.8387,0.9032,0.9355,0.3118,0.9355,0.0,1.0,0.0645
final_matches_may-24.csv,2025-09-12 11:37:46,0.8958,0.9375,0.9375,0.3125,0.9375,0.0,1.0,0.0625
final_matches_nov-22.csv,2025-09-12 11:37:46,0.7807,0.8509,0.8684,0.2895,0.8684,0.0,1.0,0.1316
final_matches_nov-23.csv,2025-09-12 11:37:46,0.6667,0.6667,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_nov-24.csv,2025-09-12 11:37:46,0.8333,0.8667,0.9667,0.3222,0.9667,0.0,1.0,0.0333
final_matches_oct-22.csv,2025-09-12 11:37:46,0.7976,0.881,0.9048,0.3016,0.9048,0.0,1.0,0.0952
final_matches_oct-23.csv,2025-09-12 11:37:46,0.9333,0.9333,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_oct-24.csv,2025-09-12 11:37:46,1.0,1.0,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_sep-22.csv,2025-09-12 11:37:46,0.8318,0.8879,0.8879,0.296,0.8879,0.0,1.0,0.1121
final_matches_sep-23.csv,2025-09-12 11:37:46,0.8,1.0,1.0,0.3333,1.0,0.0,1.0,0.0
final_matches_sep-24.csv,2025-09-12 11:37:46,0.9565,0.9565,0.9565,0.3188,0.9565,0.0,1.0,0.0435
final_matches_transaction.csv,2025-09-12 11:37:46,0.7454,0.8243,0.8571,0.2857,0.8571,0.0,1.0,0.1429
