t_row_id,t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
0,2022-07-21,202207,125764166,1658303316012,nan,106,NEW POOJA CONFECTIONARY-NEPAL,SNOW HULLS ,SNOW HULLS/2.5GM/PPH,1.0,PPH,2.5GM,,1658303316012-new pooja confectionary-nepal-snow hulls .png,PARKER FOR NEXT MONTH,999,46500,91826269,91826268,1
1,2022-07-21,202207,130944237,1658207589747,99763960,117,COOL COSMETICS PVT.LTD,NYLE HERBAL,NYLE HERBAL\6.5\ML,2.0,SCT,6.5ML,,1658207589747-cool cosmetics pvt-ltd-nyle herbal.png,RECODING,5,92117267,92112853,92114622,1
2,2022-07-21,202207,2110201173,1658211675739,99763958,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,99764027,99762387,90110213,1
3,2022-07-21,202207,124567392,1658212765443,99763959,109,KIWI HERBAL INDS-NPL,KIWI GLUCOSE-D,KIWI GLUCOSE-D/400GM/PCN,190.0,PCN,400GM ,,1658212765443-kiwi herbal inds-npl-kiwi glucose-d.png,RECODING,5,99763959,53140,99763744,1
4,2022-07-21,202207,2110202867,1658035340112,99763958,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,175.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,99764027,90200016,90110213,1
5,2022-07-22,202207,124686232,1658389312885,99763963,118,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM TPK 200ML PINEAPPLE ,20.0,TPK,200ML,Any other reason,1658389312885-goodlife beverage-nepal-rumpum.png,RECODING,5,99763963,99763919,99762402,1
6,2022-07-22,202207,233775810125,1658397482265,99763964,118,SAARANG INTNL FOOD & BEV-INDIA,MAHI,MAHI\200ML\TPK\MANGO ,32.0,TPK,200ML,,1658397482265-saarang intnl food - bev-india-mahi.png,RECODING,5,99763964,99765456,99763863,1
7,2022-07-22,202207,126759332,1658391454607,99763965,123,GOPAL N PRODUCT-NEPAL,V SERIES EXTRA WHITENER ,V-SERIES EXTRA WHITENER/LAUNDRY SOAP/150GM/PPH,30.0,PPH,150GM ,,1658391454607-gopal n product-nepal-v series extra whitener .png,RECODING,5,53137,99763965,99763763,1
8,2022-07-22,202207,113395539,1658388660819,99763961,116,BHADRA PASHUPATI PAD UDHYOG-NP,KOSELI,KOSELI\6\NOS,50.0,PPH,6 NOS,,1658388660819-bhadra pashupati pad udhyog-np-koseli.png,RECODING,5,99763961,99763272,99764100,1
9,2022-07-22,202207,113395539,1658389559638,99763962,117,PREM HENNA PVT LTD-INDIA,NISHA,NISHA\HEALTHY&SHINY\AVOCADO& BRAHMI OIL\175\ML,200.0,PBT,175ML,,1658389559638-prem henna pvt ltd-india-nisha.png,RECODING,5,99763962,92125525,46113,1
10,2022-07-22,202207,114627413,1658392823582,99763966,123,BABA SOAP INDUSTRIES - NEPAL,CAMEL ,CAMEL/150/GM/PPH,30.0,PPH,150 GM,,1658392823582-baba soap industries - nepal-camel .png,RECODING,5,99763966,99764560,99763692,1
11,2022-07-22,202207,2110202388,1658211675739,99763958,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,180.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,99764027,99762387,90110213,1
12,2022-07-22,202207,2110203273,1658211675739,99763958,105,PERFECTBLENDS(NEPAL) PVT.LTD,PASSION,PASSION MINT/HL/20NOS,200.0,HL,20NOS,,1658211675739-perfectblends-nepal- pvt-ltd-passion.png,RECODING,5,99764027,99762387,90110213,1
13,2022-07-22,202207,2110100152,1658035340112,99763958,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,180.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,99764027,90200016,90118219,1
14,2022-07-22,202207,2110100480,1658035340112,99763958,105,PERFECT BLENDS (NEPAL)PVT.LTD,PASSION,PASSION MINT,175.0,KS,20 NOS,,1658035340112-perfect blends -nepal-pvt-ltd-passion.png,RECODING,5,99764027,90200016,90110213,1
15,2022-07-25,202207,1026140123130,1658674418881,99763958,105,PERFECT BLEND,PASSION ,PASSION/20/HL/RS175/PERFECTS BLENDS PVT.LTD/NEPAL,175.0,HL,20,New Category,1658674418881-perfect blend-passion .png,RECODING,5,99764027,90200016,90118219,1
16,2022-07-25,202207,1020181120944,1658659138829,99763958,105,PERFECT BLENDS (NEPAL ) PVT.LTD CHAUDHARY UDYOG GRAM,PASSION MINT ,PASSION MINT /PERFECT BLENDS (NEPAL ) PVT.LTD CHAUDHARY UDYOG GRAM,200.0,H L,20 NO'S ,Any other reason,1658659138829-perfect blends -nepal - pvt-ltd chaudhary udyog gram-passion mint .png,RECODING,5,99764027,90200016,90110213,1
17,2022-07-25,202207,122007734,1658570621360,99763967,118,AMRAPALI BEVERAGE-NEPAL,AMRAPALI KOOL,AMRAPALI KOOL MIXED FRUIT DRINK 180ML+20ML,30.0,TPK,180+20ML,,1658570621360-amrapali beverage-nepal-amrapali kool.png,RECODING,5,99763967,52510,99762480,1
18,2022-07-25,202207,122007734,1658570119885,99763968,118,OM G BEVERAGE NEPAL,POUND LITCHI,POUND LITCHI 150ML PBT,20.0,PBT,150ML,,1658570119885-om g beverage nepal-pound litchi.png,RECODING,5,99763968,50317,99765276,1
19,2022-07-25,202207,128997655,1658473445456,99763392,111,EMAMI LTD. -INDIA,EMAMI 7 OILS IN ONE,EMAMI 7 OILS IN ONE DAMAGE CONTROL/ NON GREASY NON STICKY/100ML/PBT,110.0,PBT,100ML,,1658473445456-emami ltd- -india-emami 7 oils in one.png,CROSS CODING,2,90824159,90825769,90827614,1
20,2022-07-28,202207,128841141,1658901148699,99763972,123,MAHAKALI OLIYO CHEM - NEPAL,GAGAN,ROCKY\150GM\PPH\LAUNDRY SOAP EXTRA WHITENER,35.0,PPH,150GM,,1658901148699-mahakali oliyo chem - nepal-gagan.png,RECODING,5,99763973,99763678,99763815,1
21,2022-07-28,202207,128841141,1658900850649,99763973,123,MAHAKALI OLIYO CHEM - NEPAL,GAGAN,GAGAN\250GM\PPH\LAUNDRY SOAP EXTRA WHITENER ,50.0,PPH,250GM,,1658900850649-mahakali oliyo chem - nepal-gagan.png,RECODING,5,99763973,99762932,99763678,1
22,2022-07-28,202207,131065176,1658903317005,99763970,106,PARAS FOOD PRODUCTS-INDIA,CANDY LAKE,CANDY LAKE\11GM\PPH\BAAJA POP,8.0,PPH,11GH,,1658903317005-paras food products-india-candy lake.png,RECODING,5,99763970,52605,91826327,1
23,2022-07-28,202207,131065176,1658904494172,99763974,123,MAKALU SOAP-NEPAL,LAHAR,LAHAR\125GM\PPH\WASHING SOAP ,25.0,PPH,125GN,,1658904494172-makalu soap-nepal-lahar.png,RECODING,5,99763974,99763930,99764890,1
24,2022-07-28,202207,131065176,1658904325533,99763975,123,SHREE BALAJI GRAMODYOG-INDIA,NAHATA SKY,NAHATA SKY\200GM\PPH\BIG BAR,16.0,PPH,200GM,,1658904325533-shree balaji gramodyog-india-nahata sky.png,RECODING,5,54782,99763975,54781,1
25,2022-07-28,202207,1027161731182,1658659138829,99763958,105,PERFECT BLENDS (NEPAL ) PVT.LTD CHAUDHARY UDYOG GRAM,PASSION MINT ,PASSION MINT /PERFECT BLENDS (NEPAL ) PVT.LTD CHAUDHARY UDYOG GRAM,200.0,H L,20 NO'S ,Any other reason,1658659138829-perfect blends -nepal - pvt-ltd chaudhary udyog gram-passion mint .png,RECODING,5,99764027,90200016,90110213,1
26,2022-07-28,202207,130254973,1658825025593,99763977,123,RAGHAV SURFACTANT PVT LTD-IN,JAY,JAY DETERGENT CAKE/GREEN/250GM/PPH,20.0,PPH,250GM ,,1658825025593-raghav surfactant pvt ltd-in-jay.png,RECODING,5,99763977,99763871,99763762,1
27,2022-07-28,202207,130403386,1658653331419,99763969,106,NEHA ENTERPRISES INDIA ,2 LOVE FRUITY POP,2 LOVE FRUITY POP/ASSORTED LOLLIPOP/10GM/PPH,5.0,PPH,10GM,,1658653331419-neha enterprises india -2 love fruity pop.png,RECODING,5,99763969,91827188,99763008,1
28,2022-07-28,202207,130403386,1658814963961,99763971,120,VIKAS DETERGENTS INDIA ,ZIO REFRESHING ,ZIP REFRESHING/LIME/5Ã—100GM/EWP/SAVE RS64,144.0,EWP,5Ã—100GM,,1658814963961-vikas detergents india -zio refreshing .png,RECODING,5,99763971,48638,99764064,1
29,2022-07-28,202207,130403386,1658815205807,99763976,120,ADANI WILMAR LIMITED INDIA ,ALIFE,ALIFE/LOVELY LILY/100GM/EWP/BUY 3 GET 2 FREE,160.0,EWP,5Ã—100GM,,1658815205807-adani wilmar limited india -alife.png,RECODING,5,99763976,99764187,99762954,1
30,2022-07-28,202207,124902886,1658897644033,99763978,123,SHIVANI DETERGENTS-INDIA,SARGAM PLUS,SARGAM PLUS/150GM/PPH/50GM FREE,20.0,PPH,150GM ,,1658897644033-shivani detergents-india-sargam plus.png,RECODING,5,99763978,99764410,47739,1
31,2022-07-28,202207,124769721,1658651302436,99763979,122,UNILEVER NEPAL LTD-NEPAL,WHEEL ACTIVE 2IN1 ,WHEEL ACTIVE 2IN1/CLEAN & FRESH/950GM/PPH,110.0,PPH,950GM,,1658651302436-unilever nepal ltd-nepal-wheel active 2in1 .png,RECODING,5,99763979,99764625,50746,1
32,2022-07-28,202207,124769721,1658653331419,99763969,106,NEHA ENTERPRISES INDIA ,2 LOVE FRUITY POP,2 LOVE FRUITY POP/ASSORTED LOLLIPOP/10GM/PPH,5.0,PPH,10GM,,1658653331419-neha enterprises india -2 love fruity pop.png,RECODING,5,99763969,91827188,99763008,1
33,2022-07-28,202207,125735638,1658637193957,99763980,122,GODAWARI SOAP INDUS-NEPAL,NAYA GHADI,NAYA GHADI/DETERGENT POWDER/4.5KG/PPH/FREE BUCKET,675.0,PPH,4.5KG,,1658637193957-godawari soap indus-nepal-naya ghadi.png,RECODING,5,99763980,99764624,99763523,1
34,2022-07-29,202207,116060969,1658988949565,99763981,118,NB BEVERAGE P.LTD,AQUA 2N,AQUA 2N/JAR/19 LTR,50.0,JAR,19LTR,,1658988949565-nb beverage p-ltd-aqua 2n.png,RECODING,5,99763981,99765115,99765146,1
35,2022-07-29,202207,127522802,1658996757923,99763982,118,FRUIT AGRO PRODUCT-NEPAL,FA POWER,FA POWER\ENERGY DRINK\250ML\CAN\RS:100\FRUIT AGRO PRODUCTS PVT.LTD NEPAL,100.0,CAN,250ML,New SKU,1658996757923-fruit agro product-nepal-fa power.png,RECODING,5,99763982,99765414,99762843,1
36,2022-08-01,202207,130515903,1659254360471,99763992,121,COLGATE PALMOLIVE- NEPAL,COLGATE,COLGATE DENTAL CREAM STRONG TEETH TUBE 40GM,30.0,TUBE,40GM,,1659254360471-colgate palmolive- nepal-colgate.png,RECODING,5,99763992,99763483,92717612,1
37,2022-08-01,202207,124605790,1658389312885,99763963,118,GOODLIFE BEVERAGE-NEPAL,RUMPUM,RUMPUM TPK 200ML PINEAPPLE ,25.0,TPK,200ML,,1658389312885-goodlife beverage-nepal-rumpum.png,RECODING,5,99763963,99763919,99762402,1
38,2022-08-01,202207,124617794,1659086703416,99763967,118,AMRAPALI BEVERAGE-NEPAL,AMRAPALI KOOL,AMRAPALI KOOL MIXED FRUIT TPK 180ML+20ML,25.0,TPK,180ML,,1659086703416-amrapali beverage-nepal-amrapali kool.png,RECODING,5,99763967,52510,99763310,1
39,2022-08-01,202207,1028105220813,1659272969074,99763958,105,CHAUDHARY GROUP - NEPAL,PASSION MINT ,PASSION MINT /PERFECT BLENDS ( NEPAL )PVT.LTD CHAUDHARY UDYOG GRAM ,175.0,HL,20 NO'S ,Any other reason,1659272969074-chaudhary group - nepal-passion mint .png,RECODING,5,47279,90110168,90110226,1
40,2022-08-01,202207,128787972,1659064436526,99763993,123,GADHIMAI SOAP &INDUSTRIES NEPAL,SAMRAT,SAMRAT\125GM\PPH\LAUNDRY SOAP ,25.0,PPH,125GM,,1659064436526-gadhimai soap -industries nepal-samrat.png,RECODING,5,99763993,99763646,99763843,1
41,2022-08-01,202207,128787972,1659063327111,99763984,106,PAAKHI FOODS-INDIA,DOTCOME FIRST LOVE ,DOTCOME FIRST LOVE\3GM\PPH\HEART CANDY CENTER FILLED CANDY ,1.6,PPH,3GM,,1659063327111-paakhi foods-india-dotcome first love .png,RECODING,5,99763984,99763119,51077,1
42,2022-08-01,202207,127031725,1659081021831,99763990,120,VVF LTD - INDIA,JO,JO\40GM\EWP\ALMOND &CREAM,48.0,EWP,40GM,,1659081021831-vvf ltd - india-jo.png,RECODING,5,49671,47676,52120,1
43,2022-08-01,202207,127031725,1658904494172,99763974,123,MAKALU SOAP-NEPAL,LAHAR,LAHAR\125GM\PPH\WASHING SOAP ,25.0,PPH,125GN,,1658904494172-makalu soap-nepal-lahar.png,RECODING,5,99763974,99763930,99764890,1
44,2022-08-01,202207,127031725,1659080655268,99763994,123,MAKALU SOAP-NEPAL,JHILKE,JHILKE PRIMIUM\200GM\PPH\LAUNDRY SOAP,40.0,PPH,200GM,,1659080655268-makalu soap-nepal-jhilke.png,RECODING,5,99763994,99764403,99763150,1
45,2022-08-01,202207,1019182223522,1658674418881,99763958,105,PERFECT BLEND,PASSION ,PASSION/20/HL/RS175/PERFECTS BLENDS PVT.LTD/NEPAL,175.0,HL,20,Any other reason,1658674418881-perfect blend-passion .png,RECODING,5,99764027,90200016,90118219,1
46,2022-08-01,202207,1019165847596,1658674418881,99763958,105,PERFECT BLEND,PASSION ,PASSION/20/HL/RS175/PERFECTS BLENDS PVT.LTD/NEPAL,110.0,HL,20,,1658674418881-perfect blend-passion .png,RECODING,5,99764027,90200016,90118219,1
47,2022-08-01,202207,130911248,1659086590587,99763987,118,AMRAPALI BEVERAGE-NEPAL,AMRAPALI KOOL,AMRAPALI KOOL TPK GUAVA 180ML+20ML,25.0,TPK,180ML,,1659086590587-amrapali beverage-nepal-amrapali kool.png,RECODING,5,99763987,99763967,52510,1
48,2022-08-01,202207,130911248,1659086703416,99763967,118,AMRAPALI BEVERAGE-NEPAL,AMRAPALI KOOL,AMRAPALI KOOL MIXED FRUIT TPK 180ML+20ML,25.0,TPK,180ML,,1659086703416-amrapali beverage-nepal-amrapali kool.png,RECODING,5,99763967,52510,99763310,1
49,2022-08-01,202207,124382843,1659091425530,99763995,123,SHIVA SHAKTI SOAP - NEPAL,ALFA ,ALFA EWP \75\GM,10.0,EWP,75,New SKU,1659091425530-shiva shakti soap - nepal-alfa .png,RECODING,5,99763995,99763217,99764369,1
50,2022-08-01,202207,124092038,1659081438345,99763988,118,THOPA DRINKING WATER-NEPAL,THOPA,THOPA\20000ML\JAR\RS:60\THOPA DRINKING WATER PVT.LTD.NEPAL,60.0,JAR,20000ML,New SKU,1659081438345-thopa drinking water-nepal-thopa.png,RECODING,5,99763988,49454,40110661,1
51,2022-08-01,202207,1022153526929,1659094469425,99763983,105,SURYA NEPAL PVT LTD - NEPAL,SHAAN FILTER ,SHAAN FILTER/ SURYA NEPAL PVT.LTD/HL 20NOS ,95.0,HL,20 NO'S ,Any other reason,1659094469425-surya nepal pvt ltd - nepal-shaan filter .png,RECODING,5,99763983,90200010,90110255,1
52,2022-08-01,202207,130258571,1659080126253,99763989,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER ACTIV ,REAL FRUIT POWER ACTIV/100% MIXED FRUIT/1000ML/TPK,285.0,TPK,1000ML,,1659080126253-dabur nepal ltd--nepal-real fruit power activ .png,RECODING,5,99763989,52825,51766,1
53,2022-08-01,202207,130403381,1659077659869,99763991,120,ELIXIR LIFECARE-INDIA,KETOMARK,KETOMARK KETOCONAZOLE SOAP/75GM/CBP,125.0,CBP,75GM ,,1659077659869-elixir lifecare-india-ketomark.png,RECODING,5,99763991,53728,45855,1
54,2022-08-01,202207,130403381,1659077137048,99763986,116,JASMINE HYGIENIC - NEPAL,SAFETY ALWAYS,SAFETY ALWAYS/XXL PLUS/7 PADS/PPH,70.0,PPH,7 PADS,,1659077137048-jasmine hygienic - nepal-safety always.png,RECODING,5,99763986,92025439,99763221,1
55,2022-08-01,202207,130034813,1659075091923,99763985,111,NEERAJ TRADERS INDIA ,BABU JI ALMOND DROPS,BABU JI ALMOND DROPS/2.5ML/SCT,2.0,SCT,2.5ML,,1659075091923-neeraj traders india -babu ji almond drops.png,RECODING,5,99763985,51245,99764288,1
56,2022-08-02,202208,121836859,1659354070907,99763999,123,HIMGIRI HYGIENE PVT LTD-NEPAL,DHONI HERBAL,DHONI HERBAL DISH WASH BAR 125GM+25GM EXTRA,20.0,PPH,125GM+25GMETRA,,1659354070907-himgiri hygiene pvt ltd-nepal-dhoni herbal.png,RECODING,5,49824,53550,99763999,1
57,2022-08-02,202208,130366024,1659334881539,99763996,117,UNILEVER NEPAL LTD-NEPAL,DOVE ANTI DANDRUFF SOLUTIONS,DOVE ANTIDANDRUFF\5.5ML\SCT\DANDRUFF CARE,3.2,SCT,5.5ML,,1659334881539-unilever nepal ltd-nepal-dove anti dandruff solutions.png,RECODING,5,99763996,99762662,52937,1
58,2022-08-02,202208,130366024,1659334233732,99763997,118,DEEKSHA MINERAL WATER & BEVERAGE-NEPAL ,DEEKSHA,AQUA 005\1000ML\PBT\MINERAL WATER ,20.0,PBT,1000ML,,1659334233732-deeksha mineral water - beverage-nepal -deeksha.png,RECODING,5,99763997,99765245,40124027,1
59,2022-08-02,202207,130220638,1659250491821,nan,106,NICE CONFECTIONERY-INDIA,BYE-BYE MR.BIG ,BYE-BYE MR.BIG/CHOCOLATE/6GM/PPH,2.0,PPH,6GM,,1659250491821-nice confectionery-india-bye-bye mr-big .png,DELETE THE ITEM,1,99764674,47138,99763494,1
