t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,1,2,3,rank
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,52568,51769,99763711,1
1,2023-03-10,202303,2,113200967,21101020334,1678342726599,99764704,134,PARLE AGRO PVT LTD-INDIA,APPY,APPY\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678342726599-parle agro pvt ltd-india-appy#3.png,CROSS CODING,2,99764819,99765079,99764936,1
2,2023-03-10,202303,2,131076027,22101020027,1678343905076,99764932,134,PRAGATI CHEMICAL-INDIA,KEMPTY LITCHI,KEMPTY LITCHI\150ML\PBT\20ML FREE PULPY LITCHI,16.0,PBT,150ML,,1678343905076-pragati chemical-india-kempty litchi#3.png,RECODING,5,99764932,99765302,46692,1
3,2023-03-10,202303,2,112116438,21102020060,1678349808023,99764931,134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-MANGO/PBT/320ML/SINGAPORE BEVERAGES NEPAL PVT.LTD,140.0,PBT,320ML,,1678349808023-singapore beverage-nepal-fruit gems#3.png,RECODING,5,99764931,99765310,99765205,1
4,2023-03-13,202303,3,1210102732,12101030175,1678426246678,99764933,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,99764933,99765139,99765156,1
5,2023-03-13,202303,3,1210102765,12101030221,1678426246678,99764933,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,99764933,99765139,99765156,1
6,2023-03-13,202303,2,124865093,52202020009,1678602429399,99764934,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA/2.25L/PBT/FREE COKE ZERO 250ML,260.0,PBT,2.25L,,1678602429399-bottlers nepal - nepal-coca-cola#3.png,RECODING,5,99763901,99765354,99764934,1
7,2023-03-13,202303,3,1210101689,12101030231,1678426246678,99764933,105,GORKHA LAHARI PVT.LTD.- NEPAL,SAHARA ,SAHARA PUNCH FILTER HL-20'S,115.0,HL,20,,1678426246678-gorkha lahari pvt-ltd-- nepal-sahara #3.png,RECODING,5,99764933,99765139,99765156,1
8,2023-03-13,202303,2,128766356,22101020012,1678433554161,99764934,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA COLA\2250ML\PBT\FREE COKE ZERO 250ML,260.0,PBT,2250ML,,1678433554161-bottlers nepal - nepal-coca-cola#3.png,RECODING,5,99764934,99765132,99763901,1
9,2023-03-16,202303,8,5220210043,522020810043,1678602429399,99764934,118,BOTTLERS NEPAL - NEPAL,COCA-COLA,COCA-COLA/2.25L/PBT/FREE COKE ZERO 250ML,260.0,PBT,2.25L,,1678602429399-bottlers nepal - nepal-coca-cola#3.png,RECODING,5,99763901,99765354,99764934,1
10,2023-03-16,202303,3,1210102762,12101030215,1678865880309,99764945,105,GORKHA LAHARI PVT.LTD.- NEPAL,WINNER SPECIAL FILTER,WINNER SPECIAL FILTER -SC-20 ST.,84.5,SC,20 ST.,,1678865880309-gorkha lahari pvt-ltd-- nepal-winner special filter#3.png,RECODING,5,99764945,90118230,99765139,1
