itemdesc,company,brand,packaging,qty,uomdesc,pack_size
ELEPHANT APPLE SODA-PET 500 ML,CEYLON COLD STORES,ELEPHANT APPLE SODA,PET,500,ML,500.00 ML
CAMEL ASTO-PET 1500 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,1500,ML,1500.00 ML
CAMEL ASTO-PET 400 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,400,ML,400.00 ML
CAMEL ASTO-PET 750 ML,ARTINAT CORDIALS INDUSTRIES,CAMEL ASTO,PET,750,ML,750.00 ML
ELEPHANT NECTO-CAN 330 ML,CEYLON COLD STORES,ELEPHANT NECTO,CAN,330,ML,330.00 ML
ELEPHANT NECTO-PET 1000 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,1000,ML,1000.00 ML
ELEPHANT NECTO-PET 1500 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,1500,ML,1500.00 ML
ELEPHANT NECTO-PET 2000 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,2000,ML,2000.00 ML
ELEPHANT NECTO-PET 350 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,350,ML,350.00 ML
ELEPHANT NECTO-PET 500 ML,CEYLON COLD STORES,ELEPHANT NECTO,PET,500,ML,500.00 ML
ELEPHANT NECTO-RGB 200 ML,CEYLON COLD STORES,ELEPHANT NECTO,RGB,200,ML,200.00 ML
ELEPHANT NECTO-RGB 400 ML,CEYLON COLD STORES,ELEPHANT NECTO,RGB,400,ML,400.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 1000 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,1000,ML,1000.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 2000 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,2000,ML,2000.00 ML
ELEPHANT NECTO GO SUGAR FREE-PET 500 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,PET,500,ML,500.00 ML
ELEPHANT NECTO GO SUGAR FREE-RGB 200 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,200,ML,200.00 ML
ELEPHANT NECTO GO SUGAR FREE-RGB 400 ML,CEYLON COLD STORES,ELEPHANT NECTO GO SUGAR FREE,RGB,400,ML,400.00 ML
COOOL NECTELLO-PET 1500 ML,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,1500,ML,1500.00 ML
COOOL NECTELLO-PET 220 ML,COOL & COOL ASIA (PVT) LTD,COOOL NECTELLO,PET,220,ML,220.00 ML
PORTELLO-PET 2000 ML,COCA-COLA BEVERAGES,PORTELLO,PET,2000,ML,2000.00 ML
PORTELLO-PET 2250 ML,COCA-COLA BEVERAGES,PORTELLO,PET,2250,ML,2250.00 ML
PORTELLO-PET 250 ML,COCA-COLA BEVERAGES,PORTELLO,PET,250,ML,250.00 ML
PORTELLO-PET 400 ML,COCA-COLA BEVERAGES,PORTELLO,PET,400,ML,400.00 ML
PORTELLO-PET 750 ML,COCA-COLA BEVERAGES,PORTELLO,PET,750,ML,750.00 ML
PORTELLO-PET 1050 ML,COCA-COLA BEVERAGES,PORTELLO,PET,1050,ML,1050.00 ML
PORTELLO-PET 1500 ML,COCA-COLA BEVERAGES,PORTELLO,PET,1500,ML,1500.00 ML
PORTELLO-PET 1500 ML (1250 ML + FREE 250 ML),COCA-COLA BEVERAGES,PORTELLO,PET,1500,ML,1500.00 ML
PORTELLO-RGB 300 ML,COCA-COLA BEVERAGES,PORTELLO,RGB,300,ML,300.00 ML
PORTELLO-RGB 175 ML,COCA-COLA BEVERAGES,PORTELLO,RGB,175,ML,175.00 ML
PORTELLO SUGAR FREE-PET 1050 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,1050,ML,1050.00 ML
PORTELLO SUGAR FREE-PET 2000 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,2000,ML,2000.00 ML
PORTELLO SUGAR FREE-PET 250 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,250,ML,250.00 ML
PORTELLO SUGAR FREE-PET 400 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,400,ML,400.00 ML
PORTELLO SUGAR FREE-PET 750 ML,COCA-COLA BEVERAGES,PORTELLO SUGAR FREE,PET,750,ML,750.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1500 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,1500,ML,1500.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 750 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,750,ML,750.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO- PET 1000 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,1000,ML,1000.00 ML
COOL & COOL (E I & M PVT LTD) NECTELLO-PET 330 ML,E I & M (PRIVATE) LTD,COOL & COOL NECTELLO,PET,330,ML,330.00 ML
ICY NEETOO-PET 350 ML,ICY BEVERAGES,ICY NEETOO,PET,350,ML,350.00 ML
ICY NEETOO-PET 1500 ML,ICY BEVERAGES,ICY NEETOO,PET,1500,ML,1500.00 ML
ICY NEETOO-PET 750 ML,ICY BEVERAGES,ICY NEETOO,PET,750,ML,750.00 ML
ICY NEETOO-PET 750 ML LITE LOW SUGAR,ICY BEVERAGES,ICY NEETOO LITE LOW SUGAR,PET,750,ML,750.00 ML
MAX NECTA-PET 400 ML,MAX BEVERAGES,MAX NECTA,PET,400,ML,400.00 ML
MAX NECTA-PET 1500 ML,MAX BEVERAGES,MAX NECTA,PET,1500,ML,1500.00 ML
MAX NEXTA-PET 1000 ML,MAX BEVERAGES,MAX NEXTA,PET,1000,ML,1000.00 ML
MAX NEXTA-PET 1500 ML,MAX BEVERAGES,MAX NEXTA,PET,1500,ML,1500.00 ML
MAX NEXTA-PET 2000 ML,MAX BEVERAGES,MAX NEXTA,PET,2000,ML,2000.00 ML
MAX NEXTA-PET 375 ML,MAX BEVERAGES,MAX NEXTA,PET,375,ML,375.00 ML
MAX NEXTA-PET 500 ML,MAX BEVERAGES,MAX NEXTA,PET,500,ML,500.00 ML
MAX NEXTA-PET 750 ML,MAX BEVERAGES,MAX NEXTA,PET,750,ML,750.00 ML
MIRAGE ICE PORTESA-PET 350 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,350,ML,350.00 ML
MIRAGE ICE PORTESA-PET 600 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,600,ML,600.00 ML
MIRAGE ICE PORTESA-PET 750 ML,MIRAGE FOOD PRODUCT (PVT) LTD,MIRAGE ICE PORTESA,PET,750,ML,750.00 ML
MY BERRY-PET 1000 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,1000,ML,1000.00 ML
MY BERRY-PET 1500 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,1500,ML,1500.00 ML
MY BERRY-PET 330 ML,MY COLA BEVERAGE LANKA - (PET PACKAGING (PVT) LTD),MY BERRY,PET,330,ML,330.00 ML
