MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,MATCH_ITEMDESC,MATCH_COMPANY,MATCH_BRAND,MATCH_PACKAGING,MATCH_QTY,MATCH_UNIT,MATCH_PACKSIZE,FUZZY_SCORE
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",140,GM,140GM(110G×30G),CDB,1,,,,,,,,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/GM/PLPCH/FULL CREAM,200,GM,200GM,PLPCH,1,,,,,,,,
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VOLIN,VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,80,GM,80GM,CDB,1,,,,,,,,
JANRICH FOODS LTD,MAYA,MAYA/325/ML/PBT/SOY SAUCE,325,ML,325ML,PBT,1,,,,,,,,
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM,310,GM,310GM,PLPCH,1,,,,,,,,
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR,60,GM,60GM,PLPCH,0,PRABODHI CHICKEN FLAVOUR 60 GM,PRABODHI FOOD PRODUCTS,PRABODHI,PLPCH,60,GM,60.00 GM,0.58
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS/1/NO/COLA FLAVOURED BUBBLE GUM FILLED LOLLIPOP(14GM),1,NO,1NO,10000,1,,,,,,,,
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH,1,,,,,,,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,350,GM,350GM(70G×5),CDB,1,,,,,,,,
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR,60,GM,60GM,PLPCH,0,PRABODHI CHICKEN FLAVOUR 60 GM,PRABODHI FOOD PRODUCTS,PRABODHI,PLPCH,60,GM,60.00 GM,0.67
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,175,ML,175ML,PLBOT,0,LIFEBUOY STRONG & LONG HERBAL SHAMPOO WITH MILK PROTEIN & HERBAL EXTRACTS 175 ML PLBOT + SAVE RS 80,UNILEVER SRI LANKA LTD,LIFEBUOY,PLBOT,175,ML,175.00 ML,0.74
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.84
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX,0,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CDBOX,75,GM,75.00 GM,0.84
CEYLON COLD STORES,ELEPHANT HOUSE,ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML,320,ML,320ML,CUP,1,,,,,,,,
NATURE'S BEAUTY CREATIONS LTD,MISUMI,MISUMI KIYO BEAUTY SOAP/65/GM/CD BOX,65,GM,65GM,CD BOX,1,,,,,,,,
UDAKANDA INDUSTRIES,SAPUMAL,SAPUMAL DETERGENT SOPE 150 GM,10000,10000,150 GM,EWRPK,1,,,,,,,,
UNILEVER SRI LANKA LTD,POND'S,POND'S/23/GM/CDBOX/BRIGHT BEAUTY SERUM CREAM NINCINAMIDE 98% PURE VITAMIN B3 ANTI-SPOT FORMULA/SAVE RS 90,23,GM,23GM,CDBOX,1,,,,,,,,
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/POWER PLUS 10X ORIGINAL/SAVE RS 50,500,ML,500ML,PLBOT,0,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + SAVE RS 81,RECKITT BENCKISER (LANKA) LTD,HARPIC,PLBOT,500,ML,500.00 ML,0.57
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES,75,GM,75G,PLPCH,1,,,,,,,,
MALIBAN BISCUIT MANUFACTORIES,MALIBAN,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH,1,,,,,,,,
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,180,ML,180ML,PBT,1,,,,,,,,
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,180,ML,180ML,PBT,1,,,,,,,,
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,200,ML,200ML,PBT,1,,,,,,,,
HARUMI HOLDINGS (PVT) LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,180,ML,180ML,PBT,1,,,,,,,,
