t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,1,99763235,232.69381713867188,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 170 GM+30 GM FREE,PLPCH,170.000 GM,,,200.0,GM,20.0
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,2,99763418,235.91082763671875,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 75 GM+15 GM FREE,PLPCH,75.000 GM,,,90.0,GM,10.0
2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,3,99763111,236.84237670898438,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 85 GM+15 GM FREE,PLPCH,85.000 GM,,,100.0,GM,10.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,1,99763005,161.85748291015625,118,CHISAPANI MINERAL WATER & BEVERAGE-NP,CHISAPANI,CHISAPANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,25.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,2,40126107,189.92567443847656,118,MAHADEV WATER INDUSTRIES-NEPAL,CHISO PANI,CHISO PANI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2022-01-29,202201,113404008,1643350687172,99763005.0,118,CHISAPANI MINERAL WATER & BEVERAGE INDUSTRIES PVT LTD,CHISAPANI,CHISAPANI\1000\ML,25.0,PBT,1000 ML,,1643350687172-chisapani mineral water - beverage industries pvt ltd-chisapani.png,RECODING,5,3,40125885,196.5940704345703,118,PRASIDHA WATER INDUSTRIES-NP,PRASID,PRASID,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,1,93018458,83.0024185180664,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH  425 GMS,PLPCH,425.000 GM,,,425.0,GM,0.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,2,93018086,86.93487548828125,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH  450 GMS,PLPCH,450.000 GM,,,450.0,GM,0.0
2022-01-29,202201,113385142,1643348461375,99763012.0,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES\200\GM,20.0,PPH,200GM,,1643348461375-gopal soap industries - nepal-v series.png,RECODING,5,3,93019343,88.25537109375,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-PPH  375 GMS,PLPCH,375.000 GM,,,375.0,GM,0.0
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5,1,99763013,102.55259704589844,122,DURACH & SON'S PVT LTD-NEPAL,DIVYA,DIVYA,DIVYA-LEMON WASH PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,90.0
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5,2,92920292,139.6395263671875,123,SAGARMATHA DETERGENT - NEPAL,DHOBI,DHOBI,DHOBI-UNWRP 100 GMS,UNWRP,100.000 GM,,,100.0,GM,0.0
2022-01-29,202201,435872910103,1643353760043,99763013.0,122,DURACH AND SON'S PVT. LTD. NEPAL,DIVYA,DIVYA DETERGENT /1000 GM/PPH/RS-90,90.0,PPH,1000 GM,New SKU,1643353760043-durach and son-s pvt- ltd- nepal-divya.png,RECODING,5,3,93020232,140.6524200439453,122,Y & B DETERGENT UDHYOG-NEPAL,SURYA,SURYA,SURYA-LEMON PPH 375 GMS,PLPCH,375.000 GM,,,375.0,GM,0.0
