t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,51089,114.46258544921875,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,99763514,117.48216247558594,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-06-23,202206,128846077,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99765264,118.99855041503906,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 2000 ML,PET,2000.000 ML,MANGO,,2000.0,ML,270.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,1,51089,114.1307373046875,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,2,99763514,115.81886291503906,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 200 ML,PET,200.000 ML,MANGO,,200.0,ML,35.0
2022-06-23,202206,130609389,1655867983678,99763514.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\200ML\PBT\MANGO,35.0,PBT,200ML,,1655867983678-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,3,99765264,117.58357238769531,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 2000 ML,PET,2000.000 ML,MANGO,,2000.0,ML,270.0
2022-06-23,202206,130609389,1655870908554,99763515.0,118,DABUR NEPAL LTD.-NEPAL,REAL FRUIT POWER,REAL FRUIT POWER\500ML\PBT\MANGO,85.0,500ML,PBT,,1655870908554-dabur nepal ltd--nepal-real fruit power.png,CROSS CODING,2,7,99763515,124.28729248046875,118,DABUR NEPAL LTD.-NEPAL,REAL,REAL FRUIT POWER,MANGO PET 500 ML,PET,500.000 ML,MANGO,,500.0,ML,85.0
2022-06-23,202206,130617413,1655863972473,99763849.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA SMOOTH,MEGHA SMMOTH\150ML\HDPE\LITCHI FLAVOUR ,20.0,HDPE,150ML,,1655863972473-mega foods - beverage-nepal-mega smooth.png,RECODING,5,1,99763849,117.42472076416016,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA SMOOTH,LITCHI PET 150 ML,PET,150.000 ML,LYCHEE,,150.0,ML,20.0
2022-06-23,202206,130617413,1655863972473,99763849.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA SMOOTH,MEGHA SMMOTH\150ML\HDPE\LITCHI FLAVOUR ,20.0,HDPE,150ML,,1655863972473-mega foods - beverage-nepal-mega smooth.png,RECODING,5,2,51737,119.78666687011719,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA SMOOTH,LITCHI PET 170 ML,PET,170.000 ML,LYCHEE,,170.0,ML,0.0
2022-06-23,202206,130617413,1655863972473,99763849.0,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA SMOOTH,MEGHA SMMOTH\150ML\HDPE\LITCHI FLAVOUR ,20.0,HDPE,150ML,,1655863972473-mega foods - beverage-nepal-mega smooth.png,RECODING,5,3,99762442,122.78533935546875,118,MEGA FOODS & BEVERAGE-NEPAL,MEGA,MEGA SMOOTH,LITCHI PET 150 ML+20ML FREE,PET,150.000 ML,LYCHEE,,170.0,ML,25.0
2022-06-23,202206,131076027,1655792778918,99763851.0,118,PRAN BEVERAGES INDIA ,PRAN,PRAN LITCHI\PBT\125ML\FRUIT DRINK,16.0,PBT,125ML,,1655792778918-pran beverages india -pran.png,RECODING,5,1,20110743,174.6484832763672,118,THE AGRI. MKT. - BNGLADESH,PRAN,PRAN JUNIOR,FRUIT COCKTAIL TPK 125 ML,TPK,125.000 ML,MIXED FRUIT,,125.0,ML,0.0
2022-06-23,202206,131076027,1655792778918,99763851.0,118,PRAN BEVERAGES INDIA ,PRAN,PRAN LITCHI\PBT\125ML\FRUIT DRINK,16.0,PBT,125ML,,1655792778918-pran beverages india -pran.png,RECODING,5,2,52342,175.41896057128906,106,PRAN AGRO-BANGALADESH,PRAN,PRAN CHOCO BEAN TOFFEE,PRAN CHOCO BEAN TOFFEE-PPH 12 GM,PLPCH,12.000 GM,UNSPECIFIED,,12.0,GM,0.0
2022-06-23,202206,131076027,1655792778918,99763851.0,118,PRAN BEVERAGES INDIA ,PRAN,PRAN LITCHI\PBT\125ML\FRUIT DRINK,16.0,PBT,125ML,,1655792778918-pran beverages india -pran.png,RECODING,5,3,20127491,176.79010009765625,118,THE AGRI. MKT. - BNGLADESH,PRAN,PRAN,FRUIT COCKTAIL TPK 250 ML,TPK,250.000 ML,MIXED FRUIT,,250.0,ML,0.0
2022-06-23,202206,111741491,1655793248117,99763850.0,123,KWALITY CHEM PVT LTD-NEPAL,DIAL ,DIAL/250/GM/PPH,55.0,PPH,250 GM,,1655793248117-kwality chem pvt ltd-nepal-dial .png,RECODING,5,1,48726,100.98991394042969,123,KWALITY CHEM PVT LTD-NEPAL,KWALITY,KWALITY,KWALITY-PPH 950 GM,PLPCH,950.000 GM,,,950.0,GM,0.0
2022-06-23,202206,111741491,1655793248117,99763850.0,123,KWALITY CHEM PVT LTD-NEPAL,DIAL ,DIAL/250/GM/PPH,55.0,PPH,250 GM,,1655793248117-kwality chem pvt ltd-nepal-dial .png,RECODING,5,2,54384,104.44124603271484,123,KWALITY CHEM PVT LTD-NEPAL,KWALITY,KWALITY,KWALITY-DIAL HERB NE&LEM PPH175G+25GFR,PLPCH,175.000 GM,,,200.0,GM,0.0
2022-06-23,202206,111741491,1655793248117,99763850.0,123,KWALITY CHEM PVT LTD-NEPAL,DIAL ,DIAL/250/GM/PPH,55.0,PPH,250 GM,,1655793248117-kwality chem pvt ltd-nepal-dial .png,RECODING,5,3,99763816,104.82530212402344,123,KWALITY CHEM PVT LTD-NEPAL,DIAL,DIAL HERBAL,DIAL HERBAL-NEEM&LEMON MAGIC PCN 400 GM,PLJAR,400.000 GM,,,400.0,GM,60.0
2022-06-24,202206,126355065,1655956700257,99763854.0,118,FRESH FOOD AGRO INDUSTRIES INDIA ,FRUIT CHAMP,FRUIT CHAMP/MANGO/200ML/TPK,25.0,TPK,200ML ,,1655956700257-fresh food agro industries india -fruit champ.png,RECODING,5,1,99763854,118.3250732421875,118,FRESH FOOD AGRO INDUSTRIES-INDIA,FFA,FFA FRUIT CHAMP,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-06-24,202206,126355065,1655956700257,99763854.0,118,FRESH FOOD AGRO INDUSTRIES INDIA ,FRUIT CHAMP,FRUIT CHAMP/MANGO/200ML/TPK,25.0,TPK,200ML ,,1655956700257-fresh food agro industries india -fruit champ.png,RECODING,5,2,99764974,137.7603302001953,118,AMAANZA AGRO INDIA PVT LTD-INDIA ,FRUIT HIT,FRUIT HIT,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,32.0
2022-06-24,202206,126355065,1655956700257,99763854.0,118,FRESH FOOD AGRO INDUSTRIES INDIA ,FRUIT CHAMP,FRUIT CHAMP/MANGO/200ML/TPK,25.0,TPK,200ML ,,1655956700257-fresh food agro industries india -fruit champ.png,RECODING,5,3,99763942,147.01625061035156,118,AMAANZA AGRO INDIA PVT LTD-INDIA ,FUNBERG,FUNBERG,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-06-24,202206,124916559,1655976809090,99763858.0,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY POKO PANTS,SAGUN BABY POK PANTS/LARGE/32 PCS/PPH,800.0,PPH,32 PCS,,1655976809090-a-g- health industries pvt ltd-nepal-sagun baby poko pants.png,RECODING,5,1,99762630,58.18457794189453,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY POKO PANTS,SAGUN BABY POKO PANTS-LARGE(L) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
2022-06-24,202206,124916559,1655976809090,99763858.0,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY POKO PANTS,SAGUN BABY POK PANTS/LARGE/32 PCS/PPH,800.0,PPH,32 PCS,,1655976809090-a-g- health industries pvt ltd-nepal-sagun baby poko pants.png,RECODING,5,2,99762604,59.11384582519531,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY POKO PANTS,SAGUN BABY POKO PANTS-SMALL(S) PPH 5 NOS,PLPCH,5.000 NO,,,5.0,NO,100.0
2022-06-24,202206,124916559,1655976809090,99763858.0,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY POKO PANTS,SAGUN BABY POK PANTS/LARGE/32 PCS/PPH,800.0,PPH,32 PCS,,1655976809090-a-g- health industries pvt ltd-nepal-sagun baby poko pants.png,RECODING,5,3,99763456,60.619606018066406,132,A.G. HEALTH INDUSTRIES PVT LTD-NEPAL,SAGUN BABY,SAGUN BABY POKO PANTS,SAGUN BABY POKO PANTS-SMALL(S) PPH 42 NOS,PLPCH,42.000 NO,,,42.0,NO,800.0
