t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,1,99763215,88.63545227050781,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,2,99762753,91.03093719482422,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 300 GM,PLPCH,300.000 GM,,,300.0,GM,20.0
2022-02-28,202202,130359246,1645948657062,99763215.0,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,BABA REAL /200GM / PPH,20.0,PPH,200 GM,,1645948657062-baba soap industries - nepal-real shakti.png,RECODING,5,3,99763402,91.55757141113281,122,BABA SOAP INDUSTRIES - NEPAL,REAL SHAKTI,REAL SHAKTI,REAL SHAKTI-PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,80.0
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,1,99762805,157.06283569335938,122,NAMASTE S.I (P)-NEPAL,NILAM,NILAM,NILAM-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,2,51389,160.28875732421875,122,NAMASTE S.I (P)-NEPAL,NILAM,NILAM,NILAM-PPH 260 GM,PLPCH,260.000 GM,,,260.0,GM,0.0
2022-02-28,202202,122277042,1645973337585,99763216.0,126,SAKAMBARIPRODUCT NEPAL,NAAZ,NAAZ 1.4GM,2.5,PPH,1.4GM,,1645973337585-sakambariproduct nepal-naaz.png,RECODING,5,3,99762806,160.2971649169922,122,NAMASTE S.I (P)-NEPAL,NILAM,NILAM,NILAM-PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,50.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,1,99762767,144.5294189453125,123,NAMASTE S.I (P)-NEPAL,JUN,JUN,JUN-LAUNDRY SOAP PPH 500 GM,PLPCH,500.000 GM,,,500.0,GM,100.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,2,99764179,146.64111328125,123,NAMASTE S.I (P)-NEPAL,JUN,JUN,JUN-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,40.0
2022-02-28,202202,132990295,1645950892798,99763217.0,123,SHIVSHAKTI SOAP INDUSTRIES NEPAL ,ALFA,ALFA/DETERGENT SOAP/GM 100/EWP/RS 10,10.0,EWP,GM 100,,1645950892798-shivshakti soap industries nepal -alfa.png,RECODING,5,3,53133,148.77032470703125,123,OM SOAP INDUSTRIES-NEPAL,ALFA,ALFA,ALFA-PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,0.0
2022-03-01,202202,435872910128,1646027872071,99763224.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN MANIA,HYGEN MANIA/MANGO DRINK/ML 200/TPK/RS 25,25.0,TPK,ML 200,,1646027872071-hygen packs nepal pvt ltd-nepal-hygen mania.png,RECODING,5,1,99763224,79.3390884399414,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
