t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,1,54781,194.74997,123,SHREE BALAJI GRAMODYOG-INDIA,NAHATA,NAHATA SKY,NAHATA SKY-LIME DISHWASH PCN 400 GM,PLJAR,400.000 GM,,,400.0,GM,0.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,2,99764618,201.74234,123,GAURISHANKAR SABUN UDHYOG-NEPAL,PANASH,PANASH,PANASH-LAUNDRY SOAP PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,40.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,3,99765113,201.83713,118,SALAMBHU FOOD AND BEVERAGE-NEPAL,AQUA SUNAKHARI,AQUA SUNAKHARI,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,4,40110810,204.87724,118,AQUA SUNDARI PVT LTD-NEPAL,AQUA DB,AQUA DB,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,5,99763073,206.38129,123,SIDDHI BINAYAK CHEMICALS-NEPAL,RUKH CHHAP,RUKH CHHAP DALLO SABUN,RUKH CHHAP DALLO SABUN-PPH 3*250 GM [750 GM],PLPCH,250.000 GM,,,750.0,GM,100.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,6,99765408,207.72702,118,SALAMBHU FOOD AND BEVERAGE-NEPAL,AQUA SHANKARAPUR,AQUA SHANKARAPUR,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,20.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,7,51974,208.30176,118,KOSHI JAL UDHYOG-NEPAL,MORANG AQUA,MORANG AQUA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,8,54782,208.56001,123,SHREE BALAJI GRAMODYOG-INDIA,NAHATA,NAHATA SKY,NAHATA SKY-LIME PCN 400 GM+FR SCUBBER,PLJAR,400.000 GM,,,400.0,GM,0.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,9,53474,209.0557,123,K.S.C.I(P) LTD-NEPAL,PARIJAT,PARIJAT,PARIJAT-UNWRP 200 GM,UNWRP,200.000 GM,,,200.0,GM,0.0
0,2023-12-18 00:00:00,202312,2,113395617,21103020006,1702803743834,99765113,134,SALAMBHU FOOD AND BEVERAGE PVT. LTD,AQUA SUNAKHARI,AQUA SUNAKHARI/PBT/1LTR,20,1LTR,PBT,,1702803743834-salambhu food and beverage pvt- ltd-aqua sunakhari#3.png,RECODING,5,10,99764020,210.27504,123,HIMGIRI HYGIENE PVT LTD-NEPAL,TIKA,TIKA,TIKA-LAUNDRY SOAP PPH 3*167 GM [500 GM],PLPCH,167.000 GM,,,500.0,GM,105.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,1,99765114,164.56082,118,GANESH HIMAL KHANEPANI PVT LTD-NPL,AQUA MOON,AQUA MOON,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,47.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,2,40110559,208.10818,118,MANI KHANE PANI SEWA-NEPAL,AQUA GOSAINKUNDA,AQUA GOSAINKUNDA,JAR 20000 ML,JAR,20000.000 ML,,,20000.0,ML,0.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,3,46580,209.67856,118,AQUA WORLD PVT LTD-NEPAL,AQUA WORLD,AQUA WORLD,JAR 20000 ML,JAR,20000.000 ML,,,20000.0,ML,0.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,4,53866,209.72406,118,B & S KHANEPAL UDYG-NP,AQUA SAIRASH,AQUA SAIRASH,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,0.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,5,99763478,209.9077,118,SIDDHAKALI AQUA PANI UDHYOG-NP,AQUA KIK,AQUA KIK,JAR 19000 ML,JAR,19000.000 ML,,,19000.0,ML,40.0
1,2023-12-18 00:00:00,202312,2,113599066,21103020023,1702799816701,99765114,134,GANESH HIMAL KHANEPANI PRIVATE LIMITED,AQUA MOON,AQUA MOON/JAR/19LTR,40,19LTR,JAR,,1702799816701-ganesh himal khanepani private limited-aqua moon#3.png,RECODING,5,6,50057,215.11447,118,SHREE KANCHENJUNGA DRNK WTR-NP,AQUA KANCHANJUNGA,AQUA KANCHANJUNGA,PET 1000 ML,PET,1000.000 ML,,,1000.0,ML,0.0
