t_row_id,t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,1,99763235,232.69382,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 170 GM+30 GM FREE,PLPCH,170.000 GM,,,200.0,GM,20.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,2,99763418,235.91083,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 75 GM+15 GM FREE,PLPCH,75.000 GM,,,90.0,GM,10.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,3,99763111,236.84238,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 85 GM+15 GM FREE,PLPCH,85.000 GM,,,100.0,GM,10.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,4,99764226,237.22002,123,GOPAL N PRODUCT-NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-LEMON & WOOD ASH PPH 60 GM+15 GM FREE,PLPCH,60.000 GM,,,75.0,GM,10.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,5,92122632,237.39755,117,SHANTOU SHENTE BAOJIE IND-CHN,ROUSHUN,ROUSHUN ALOEVERA CONDI.,ROUSHUN ALOEVERA CONDI.-PBT 500 ML,PLBOT,500.000 ML,,,500.0,ML,0.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,6,54268,237.8829,122,KAILASH SABUN SODA UDYG-NP,SHUKLA,SHUKLA PHANTA,SHUKLA PHANTA-EXCEL PPH 1000 GM,PLPCH,1000.000 GM,,,1000.0,GM,0.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,7,52050,239.31163,122,NEPCHEM GROUP-NEPAL,NEP-X,NEP-X,NEP-X-PREMIUM PCN 5000 GM,PLJAR,5000.000 GM,,,5000.0,GM,0.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,8,90860235,240.24109,111,UNILEVER NEPAL LTD-NEPAL,NIHAR,NIHAR,NIHAR-PBT 200 ML+25 ML SUNSILK SHMP,PLBOT,200.000 ML,,,200.0,ML,0.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,9,54898,243.60405,122,KAILASH SABUN SODA UDYG-NP,SHUKLA,SHUKLA PHANTA,SHUKLA PHANTA-EXCEL PPH 2000 GM,PLPCH,2000.000 GM,,,2000.0,GM,0.0
0,2022-01-28,202201,131343819,1643253703718,,118,PRO NEPW,NOTE,MOUNTAIN SPRIT,1.0,PBT,250ML,New SKU,1643253703718-pro nepw-note.png,DELETE THE ITEM,1,10,92925080,243.87694,123,G.S.I.P.LTD-NEPAL,XPERT,XPERT,XPERT-UNWRP 150 GMS,UNWRP,150.000 GM,,,150.0,GM,0.0
