t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,1,54005,228.23686,116,SOFTY HYGIENE PVT LTD-NEPAL,SOFTY,SOFTY,SOFTY-ULT SUPER ABSORBENT CORE-PPH 10 NO,PLPCH,10.000 NO,,,10.0,NO,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,2,51084,255.61688,116,SOFTY HYGIENE PVT LTD-NEPAL,SOFTY,SOFTY,SOFTY-ULTRA SUPER ABSORBENT CORE PPH 6 NO,PLPCH,6.000 NO,,,6.0,NO,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,3,92024765,258.06195,116,IMPORTED-IMPORTED,COMFORT,COMFORT REGULAR,COMFORT REGULAR-PPH 8 NOS,PLPCH,8.000 NO,,,8.0,NO,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,4,99764195,258.2795,116,H R HYGIENE PROD-IND,WOMANCIA,WOMANCIA PREMIUM,WOMANCIA PREMIUM-QUICK ABSORB DRY FEEL XTRA LARGE PPH 7NO,PLPCH,7.000 NO,,,7.0,NO,50.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,5,49688,259.69052,123,SUPER TATA SOAP & CHEMICAL-NP,DON,DON XPERT,DON XPERT-PPH 190 GM+15% EXT[30GM],PLPCH,190.000 GM,,,220.0,GM,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,6,47665,262.04855,123,SUPER TATA SOAP & CHEMICAL-NP,DON,DON XPERT,DON XPERT-PPH 185 GM+15% EXT[30GM],PLPCH,185.000 GM,,,215.0,GM,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,7,54936,262.39838,116,H R HYGIENE PROD-IND,FEMISS,FEMISS,FEMISS-ECO QUICK ABSORB DRY FEEL PPH 7 NO+1NO FR,PLPCH,7.000 NO,,,8.0,NO,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,8,99762979,264.9052,116,CARE & COMFORT PRODUCTS-NEPAL,CARE & COMFORT,CARE & COMFORT,CARE & COMFORT-REGULAR PPH 7 NO,PLPCH,7.000 NO,,,7.0,NO,45.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,9,92925080,267.98813,123,G.S.I.P.LTD-NEPAL,XPERT,XPERT,XPERT-UNWRP 150 GMS,UNWRP,150.000 GM,,,150.0,GM,0.0
0,2023-02-07,202302,1,117185654,32203010010,1675677515836,1675677515836,116,SUPER ABSORBENT CORE ,COMFORT,COMFORT PPH 8 NOS,100.0,PPH,8 NOS,,1675677515836-super absorbent core -comfort#3.png,DELETE THE ITEM,1,10,99763048,268.18127,123,PUJA SOAP & HOUSEHOLD PROD-NPL,PUJA,PUJA,PUJA-PPH 3*167 GM [500GM] 3 PCS PACK,PLPCH,167.000 GM,,,500.0,GM,100.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,1,99764842,77.65479,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE,PURE REGULAR,PURE REGULAR-EVERYDAY XL PPH 7 NO,PLPCH,7.000 NO,,,7.0,NO,50.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,2,99764821,129.02434,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE,PURE ULTRA CLEAR CHOICE,PURE ULTRA CLEAR CHOICE-XL ULTRA THIN PPH 8 NO,PLPCH,8.000 NO,,,8.0,NO,80.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,3,99763270,170.58138,116,ANYTIME HYGIENE PVT LTD-NEPAL,ANYTIME,ANYTIME,ANYTIME-REGULAR WINGS PPH 7 NOS,PLPCH,7.000 NO,,,7.0,NO,55.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,4,99764020,173.01604,123,HIMGIRI HYGIENE PVT LTD-NEPAL,TIKA,TIKA,TIKA-LAUNDRY SOAP PPH 3*167 GM [500 GM],PLPCH,167.000 GM,,,500.0,GM,105.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,5,92962475,175.17607,123,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES POPULAR,V SERIES POPULAR-PCN 800 GM+SCRUBBER FREE,PLJAR,800.000 GM,,,800.0,GM,0.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,6,99762485,175.29297,122,CLEAN AID NEPAL P LTD-NEPAL,HERO,HERO ULTRA,HERO ULTRA-LEMON & JASMINE PPH 250 GM,PLPCH,250.000 GM,,,250.0,GM,20.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,7,92962392,175.31578,123,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES POPULAR,V SERIES POPULAR-PCN 400 GM+SCRUBBER FREE,PLJAR,400.000 GM,,,400.0,GM,0.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,8,99763929,175.43115,122,CLEAN AID NEPAL P LTD-NEPAL,HERO,HERO ULTRA,HERO ULTRA-LEMON & JASMINE PPH 200 GM,PLPCH,200.000 GM,,,200.0,GM,20.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,9,50749,175.53212,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-PPH 3000 GM,PLPCH,3000.000 GM,,,3000.0,GM,0.0
1,2023-02-07,202302,1,117185654,32203010010,1675677700709,99764842,116,ANGEL TOUCH HYGIENE MANUF.-NEPAL,PURE EVERYDAY,PURE EVERYDAY XL 7 NOS,50.0,PPH,7 NOS,,1675677700709-angel touch hygiene manuf--nepal-pure everyday#3.png,RECODING,5,10,46807,175.99673,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES,V SERIES-ORANGE & LEMON-PPH 3000 GM,PLPCH,3000.000 GM,,,3000.0,GM,0.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,1,99764848,154.62486,125,TRIMURTI FRAGNANCES PVT LTD.,SPECIAL BASSA,SPECIAL BASSA,15G KHAINI,PLAST,15G,REGULAR,,15.0,GM,20.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,2,93015344,188.5907,122,BASANTA CHEMICAL- NEPAL,BULBUL,BULBUL,BULBUL-PPH 500  GMS,PLPCH,500.000 GM,,,500.0,GM,0.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,3,50749,189.17921,122,GOPAL SOAP INDUSTRIES - NEPAL,V SERIES,V SERIES XPERT,V SERIES XPERT-PPH 3000 GM,PLPCH,3000.000 GM,,,3000.0,GM,0.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,4,93011488,189.33395,122,BASANTA CHEMICAL- NEPAL,BULBUL,BULBUL,BULBUL-PPH 200  GMS,PLPCH,200.000 GM,,,200.0,GM,0.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,5,99763073,191.59456,123,SIDDHI BINAYAK CHEMICALS-NEPAL,RUKH CHHAP,RUKH CHHAP DALLO SABUN,RUKH CHHAP DALLO SABUN-PPH 3*250 GM [750 GM],PLPCH,250.000 GM,,,750.0,GM,100.0
2,2023-02-07,202302,3,1220100023,12201030087,1675655460329,99764848,125,TRIMURTI FREGNENCE INDUSTRIES NEPAL,SPECIAL BASSA,SPECIAL BASSA,20.0,PPH,15G,,1675655460329-trimurti fregnence industries nepal-special bassa#3.png,RECODING,5,6,99762902,191.80862,123,NEPAL GRAMODHYOG PVT LTD-NP,NEPAL GRAMODHYOG,NEPAL GRAMODHYOG HERB YUKT,NEPAL GRAMODHYOG HERB YUKT-ASH & LEMON PPH 150 GM,PLPCH,150.000 GM,,,150.0,GM,20.0
