t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,1,52568,142.86914,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 160 ML,TPK,160.000 ML,MANGO,,160.0,ML,0.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,2,51769,149.64496,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO TPK 65 ML,TPK,65.000 ML,MANGO,,65.0,ML,0.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,3,99763711,158.08832,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO PET 300 ML,PET,300.000 ML,MANGO,,300.0,ML,32.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,4,99765268,162.57835,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO PET 1800 ML,PET,1800.000 ML,MANGO,,1800.0,ML,160.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,5,99765016,163.26517,118,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI,MANGO PET 600 ML,PET,600.000 ML,MANGO,,600.0,ML,100.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,6,99764551,173.85739,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO TPK 125 ML,TPK,125.000 ML,MANGO,,125.0,ML,20.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,7,99764559,176.99542,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,30.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,8,99764993,186.36691,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,50.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,9,99765006,186.54602,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 150 ML,PET,150.000 ML,MANGO,,150.0,ML,30.0
0,2023-03-10,202303,2,113200967,21101020334,1678343179830,99764559.0,134,PARLE AGRO PVT LTD-INDIA,FROOTI,FROOTI\SOFT DRINKS\PARLE AGRO\200ML\TPK,30.0,TPK,200ML,New SKU,1678343179830-parle agro pvt ltd-india-frooti#3.png,CROSS CODING,2,10,99765419,186.63864,118,SOUTH ASIAN BEVERAGES P. LTD-NEPAL,FROOTI,FROOTI,MANGO PET 1000 ML,PET,1000.000 ML,MANGO,,1000.0,ML,170.0
