t_row_id,t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,1,99764247,79.67407,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,2,99763224,88.04326,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,3,99763844,109.1233,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA MAGIC,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,4,99765238,112.257034,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,25.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,5,99764995,115.799255,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO PET 1000 ML,PET,1000.000 ML,MANGO,,1000.0,ML,170.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,6,51967,116.45292,118,HYGEN PACKS-INDIA,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,7,99764833,118.81435,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO PET 500 ML,PET,500.000 ML,MANGO,,500.0,ML,80.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,8,99764476,119.70888,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO PET 250 ML,PET,250.000 ML,MANGO,,250.0,ML,50.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,9,46894,127.87961,118,HYGEN PACKS-INDIA,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
0,2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,10,99763057,128.94948,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA APPE,APPLE TPK 200 ML,TPK,200.000 ML,APPLE,,200.0,ML,25.0
1,2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,1,99764247,80.89971,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
1,2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,2,99763224,89.47341,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
1,2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,3,99763844,110.89644,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,MANIA,MANIA MAGIC,MANGO TPK 180 ML+20 ML FREE,TPK,180.000 ML,MANGO,,200.0,ML,25.0
1,2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,4,99765238,112.90326,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,GUAVA TPK 200 ML,TPK,200.000 ML,GUAVA,,200.0,ML,25.0
1,2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,5,99764995,117.695854,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO PET 1000 ML,PET,1000.000 ML,MANGO,,1000.0,ML,170.0
