t_row_id,t_DATE,t_PERIOD,t_AUDITYPE,t_STORECODE,t_DLRCODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,1,99765436,78.853745,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,LEMON PET 345 ML,PET,345.000 ML,LEMON,,345.0,ML,32.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,2,99765296,82.947174,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,LEMON PET 350 ML,PET,350.000 ML,LEMON,,350.0,ML,32.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,3,99763852,84.779236,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,LEMON PET 250 ML,PET,250.000 ML,LEMON,,250.0,ML,32.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,4,20121458,100.49524,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,NIMBOOZ,NIMBOOZ,LEMON PET 350 ML,PET,350.000 ML,LEMON,,350.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,5,20127603,104.89241,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,MASALA SODA PET 350 ML,PET,350.000 ML,SODA,,350.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,6,50051,106.24017,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,MASALA SODA PET 300 ML,PET,300.000 ML,SODA,,300.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,7,20124858,107.30669,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,MASALA SODA PET 500 ML,PET,500.000 ML,SODA,,500.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,8,50665,114.08801,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP NIMBOOZ,MASALA SODA RGB 200 ML,RGB,200.000 ML,SODA,,200.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,9,20121251,118.14032,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP,CAN 300 ML,CAN,300.000 ML,LEMON,,300.0,ML,0.0
0,23/09/2024,202409,2,129024634,22101020014,1726972025844,99765296,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP NIMBOOZ,7 UP NIMBOOZ\350ML\PBT\LEMON JUICE ,32,350ML,PBT,,1726972025844-pepsi cola cmpny imprtd-imprtd-7 up nimbooz#3.png,RECODING,5,10,20110041,119.18251,118,PEPSI COLA CMPNY IMPRTD-IMPRTD,7 UP,7 UP,CAN 330 ML,CAN,330.000 ML,LEMON,,330.0,ML,0.0
